gene,phi,logPhi,sd,logSd,0.025,0.975,log10.0.025,log10.0.975
Y47H9C.14,0.992722868919373,-0.0487545430660248,4.6986769302808e-5,2.0406665229662e-5,0.358814495801926,2.1529282728831,-0.445130038553075,0.333029558071883
fbxa-217,0.997971951961517,-0.0442350022494793,4.65145077531166e-5,1.9631094359856e-5,0.368130673716466,2.13442474206288,-0.433998048114576,0.329280701759289
R09B3.6,1.00457048416138,-0.0426393151283264,4.69182339607501e-5,2.02438321713449e-5,0.368556798746188,2.16675015687942,-0.433495597293496,0.335808834975033
Y53C10A.1,0.997485816478729,-0.0466854646801949,4.71972530593082e-5,2.02940820676788e-5,0.35543718735377,2.13679458498955,-0.449237176695542,0.329762774224296
hsf-2,0.994581520557404,-0.0477891452610493,4.65210473433938e-5,2.07061369522376e-5,0.364910924931367,2.12347559928894,-0.43781313431797,0.327047255485263
fbxa-123,0.989280939102173,-0.0510437376797199,4.73553947883021e-5,2.08894059461074e-5,0.364183038224777,2.14286589622498,-0.438680285629294,0.330994993089497
Y47H10A.6,1.00548553466797,-0.0430240035057068,4.83141281623427e-5,2.01146300088297e-5,0.366193293531736,2.21419065992037,-0.436289723556088,0.345214948986614
M01G12.8,1.01033806800842,-0.0405173599720001,4.87344071319954e-5,1.98489781498633e-5,0.376839204877615,2.17036183277766,-0.423843921229681,0.336532065201042
T09E11.11,0.991399109363556,-0.0492254309356213,4.64697021279086e-5,2.04213937368505e-5,0.359325374911229,2.13429997165998,-0.444512163133602,0.329255458321887
C54C8.8,1.00004088878632,-0.0452343001961708,4.74127379512272e-5,2.01695676912675e-5,0.35201387355725,2.1851318359375,-0.453440219864477,0.339477644179422
F33E2.8,0.999991595745087,-0.0440200120210648,4.83553127622504e-5,1.95505037773937e-5,0.374492133160432,2.17508656779925,-0.426557624259546,0.337476197841552
T07D10.8,1.00633764266968,-0.0420411117374897,4.77048688432989e-5,2.00369373109262e-5,0.361838041990995,2.17766667405764,-0.441485776564877,0.337991364457832
T07D10.10,0.995039343833923,-0.0490434728562832,4.75342251425253e-5,2.10416919681347e-5,0.355678800493479,2.14462219675382,-0.44894202108212,0.331350768153029
clec-16,0.996662676334381,-0.0479350946843624,4.72048202836533e-5,2.09343868403637e-5,0.360097341487805,2.14251896540324,-0.443580097482912,0.330924674932869
clec-14,0.989807605743408,-0.0497124865651131,4.69322855906394e-5,2.03204167050598e-5,0.360012352466583,2.1703312754631,-0.443682728973474,0.336526028172184
H16D19.7,0.999929785728455,-0.044471126049757,4.72624738289095e-5,1.9823561972276e-5,0.366984494030476,2.19893500010172,-0.435352285580995,0.342212314963668
H16D19.4,0.999659359455109,-0.0468349903821945,4.78676624850438e-5,2.06558993464153e-5,0.351485994209846,2.17061983942985,-0.454091976159793,0.336583720998552
H16D19.5,0.994886994361877,-0.0487017333507538,4.76597784643471e-5,2.08514925175533e-5,0.363790804644426,2.1782433172067,-0.439148306021195,0.338106371681546
T26E3.11,1.00526309013367,-0.0443254671990871,4.8363429008981e-5,2.06765715337938e-5,0.356104770302773,2.18795537352562,-0.448422224184065,0.34003844761875
F28C12.6,0.991536319255829,-0.047901563346386,4.68435802062191e-5,1.98488242502588e-5,0.370042265454928,2.14002626538277,-0.431748677870199,0.330419100732919
sra-19,1.0095397233963,-0.0429915450513363,4.89041522371396e-5,2.0789902936368e-5,0.368833233912786,2.23375628590584,-0.43316995411208,0.349035777213907
T06G6.8,0.993218839168549,-0.0478573963046074,4.66712576943777e-5,2.02401928288807e-5,0.356249516208967,2.16279201507568,-0.448246255118593,0.335014754491138
W02A11.6,0.998029410839081,-0.0469561330974102,4.66876019268634e-5,2.09275016825134e-5,0.357206721355518,2.16157835523287,-0.447082363668421,0.334770856382631
fbxa-121,0.99239444732666,-0.048927441239357,4.7571718570743e-5,2.03742738547553e-5,0.368467852224906,2.16486344337463,-0.433600397135362,0.335430504500548
Y26D4A.15,0.99441134929657,-0.0458137281239033,4.64901896454374e-5,1.95959573792158e-5,0.36802850390474,2.15058268904686,-0.434118579302268,0.332556132896182
Y26D4A.16,0.993902742862701,-0.0478171370923519,4.7690107481778e-5,2.01706915507514e-5,0.365257102251053,2.17882514198621,-0.437401742327128,0.338222223013475
Y26D4A.18,0.99597042798996,-0.0467230267822742,4.69646232858075e-5,2.02099374907847e-5,0.366290375838677,2.14418391982714,-0.436174497154317,0.331262033997457
Y26D4A.22,1.00036764144897,-0.0465888679027557,4.78673854280255e-5,2.07509828228465e-5,0.361405515670776,2.18677625656128,-0.442005223752732,0.339804349613488
Y26D4A.19,0.996932983398438,-0.0465471148490906,4.73670548970869e-5,2.01215007935582e-5,0.364398361494144,2.15487724939982,-0.438423644234227,0.333422272005481
F22G12.8,0.997216284275055,-0.0455439649522305,4.66243991071623e-5,2.0157016288622e-5,0.3784925190111,2.13703761696815,-0.421942903667183,0.329812166208184
ZK1225.10,0.991952657699585,-0.0495071522891521,4.73379228486908e-5,2.04689666139629e-5,0.361975210160017,2.18996718128522,-0.441321444577866,0.340437606219671
ZK1225.7,0.997884690761566,-0.0445167608559132,4.68698848476586e-5,1.96104665277657e-5,0.377508909503619,2.17824038465818,-0.42307280624578403,0.338105543562284
F44F1.1,0.994556546211243,-0.0463424883782864,4.75315228441221e-5,1.95865125857003e-5,0.367158204813798,2.15219219128291,-0.435146762601855,0.332881050462266
F44F1.5,0.994892299175262,-0.0464397817850113,4.60120317257549e-5,2.01150078194499e-5,0.357747768610716,2.12403494715691,-0.446423073508494,0.327161637812086
M01E5.1,0.990654766559601,-0.050235453993082,4.69146259029459e-5,2.05893340376073e-5,0.357633776217699,2.17004925211271,-0.44656149851343,0.336469485434322
W05H12.3,0.994951546192169,-0.0469536520540714,4.65666819621006e-5,2.00203713961835e-5,0.356609857827425,2.14411846995354,-0.447806716472842,0.331248738528308
W09C5.3,0.988404810428619,-0.0500837117433548,4.65613233174385e-5,2.02632435213338e-5,0.356751623998086,2.13213666081429,-0.447634055238236,0.328815037635405
Y37H9A.4,0.984923243522644,-0.0511175990104675,4.60564915349815e-5,2.01262351865402e-5,0.364562873045603,2.14311398069064,-0.438227605556842,0.331045246981021
fbxa-93,0.990180671215057,-0.0483917035162449,4.57874644751884e-5,2.00634414327188e-5,0.365367055684328,2.14695442517598,-0.437270617493354,0.331822824753843
Y71A12B.14,0.995354413986206,-0.0488850511610508,4.82397071108064e-5,2.07932409311325e-5,0.355022835234801,2.15434509515762,-0.449743940842793,0.333315230359118
Y71A12B.21,0.994374334812164,-0.0484403893351555,4.78050753494641e-5,2.0536458127103e-5,0.360642827053865,2.14331851402918,-0.442923045692756,0.33108645807509
Y71A12B.19,1.00064146518707,-0.043729517608881,4.65111903574443e-5,1.99492173397496e-5,0.371902075409889,2.17146562536557,-0.429571402079423,0.33675295132033
Y71A12B.18,0.988971412181854,-0.0490487851202488,4.64992932014688e-5,1.98737142014992e-5,0.360091926405827,2.1211952428023,-0.443586619418202,0.326580639490071
fbxb-94,1.00164008140564,-0.0437771789729595,4.71527074920375e-5,1.98835865162379e-5,0.364693960547447,2.19218381444613,-0.438071428897703,0.340876841008712
F49B2.4,1.00060105323792,-0.0443161390721798,4.71418746893864e-5,2.00585417853614e-5,0.367566835135221,2.16065333088239,-0.434663727668333,0.334585090957151
Y54E5B.5,0.991212666034698,-0.0487763732671738,4.66026292600466e-5,2.01888880665824e-5,0.362130218495925,2.14280641277631,-0.441135297911333,0.330982660906119
srw-92,1.00207996368408,-0.0439835526049137,4.75814153601497e-5,1.99833724819571e-5,0.366830912729104,2.2008929848671,-0.43553407487301,0.342598926121166
srw-93,1.00474810600281,-0.0422836765646935,4.74458804009412e-5,1.99396615007685e-5,0.366221698373556,2.15968893369039,-0.436255970619263,0.334391194319279
nspd-11,1.00170874595642,-0.0454982444643974,4.88374945234145e-5,2.02538671097704e-5,0.362640434503555,2.16737453540166,-0.440524166811382,0.335933806748793
K01A2.3,0.99072790145874,-0.0484153777360916,4.75193214019896e-5,1.96984203645068e-5,0.363939648866653,2.16042211850484,-0.438970685529018,0.334538610609995
C24H12.7,0.993575394153595,-0.0476065650582314,4.73712922233097e-5,1.98961653024297e-5,0.362273532152176,2.18595578471819,-0.440963396180031,0.339641346767596
C24H12.9,1.01061356067657,-0.040836863219738,4.77528203361004e-5,2.04877719143086e-5,0.367470955848694,2.18895624478658,-0.434776981050811,0.340237075404501
C24H12.3,1.00624740123749,-0.0436183921992779,5.0058113539376e-5,2.01837863163578e-5,0.369127727051576,2.22809290885925,-0.432823365333426,0.347933296449453
C24H12.19,0.999283373355865,-0.0450741685926914,4.71409880434799e-5,1.99952094107377e-5,0.359160534540812,2.19238235553106,-0.444711504173873,0.340916207172882
W10D9.2,0.992091596126556,-0.0487182773649693,4.72431586600866e-5,2.0127612255396e-5,0.357806851466497,2.16440135637919,-0.44635135003234,0.335337725064751
W08F4.20,1.00606107711792,-0.0434170365333557,4.79955740492483e-5,2.03879815430668e-5,0.364013468970855,2.2018247783184,-0.438882797733017,0.342782748961526
T04B8.2,0.996577739715576,-0.046682957559824,4.79184380148616e-5,2.01134243010092e-5,0.360627726465464,2.16760150790214,-0.442940887388806,0.335979433230431
K07E8.8,0.994119703769684,-0.0469160713255405,4.68898590696499e-5,1.99191989223283e-5,0.361058705548445,2.13592370351156,-0.442423214843122,0.32958573527426
K07E8.15,1.00164794921875,-0.043718483299017,4.77088138050833e-5,1.99198693780537e-5,0.362330516427755,2.18413056929906,-0.440895152877662,0.339278590715057
K07E8.4,1.00057554244995,-0.0447789318859577,4.78057423970996e-5,1.99730915982336e-5,0.369112210224072,2.16505549351374,-0.432841595049175,0.335469028874259
K07E8.2,0.997215330600739,-0.0458197817206383,4.6901037614036e-5,2.01122666794098e-5,0.368820639699697,2.14830887118975,-0.433184799806049,0.332096691819851
K07E8.1,0.995702743530273,-0.0481566116213799,4.95079987161104e-5,2.0204308201542e-5,0.36464090148607903,2.16854996283849,-0.438134901879158,0.336169431223066
C08G5.1,0.998443484306335,-0.0489837303757668,5.0327160517805e-5,2.16824306436545e-5,0.362324856221676,2.15500362515449,-0.440901880987458,0.333447917788905
C08G5.3,1.00243556499481,-0.0472063571214676,4.84748757658336e-5,2.14925369017975e-5,0.363957886149486,2.21106968124707,-0.438948964856445,0.344601621135632
C08G5.3,0.992678880691528,-0.0471509471535683,4.68054048155003e-5,1.97527513307853e-5,0.370006303985914,2.1260106464227,-0.431790885022885,0.327565406559291
Y39F10A.2,0.998394548892975,-0.0482974499464035,5.03123273905761e-5,2.07945424784524e-5,0.35534276291728,2.1667978088061,-0.449352900671377,0.335818340310155
F46F5.12,0.999226927757263,-0.0463956445455551,4.7885647525968e-5,2.037671648881e-5,0.36347952062885,2.17815955678622,-0.439520055712302,0.338089437666959
F28A10.2,0.992768287658691,-0.0467285998165607,4.63967964870045e-5,1.96280094909792e-5,0.368066103508075,2.16279160380363,-0.434074195711489,0.335014674752608
F28A10.10,0.993240654468536,-0.0476133786141872,4.63019872077256e-5,2.0161902167473e-5,0.361378025015195,2.13217867811521,-0.442038361903082,0.328823442531258
T07D3.5,1.00616276264191,-0.0421342849731445,4.82079434575521e-5,1.9821078422883e-5,0.374156039456526,2.21275751590729,-0.426947248342211,0.344933824407388
T07D3.3,1.0032057762146,-0.0456565991044044,4.77518389357726e-5,2.11533596044969e-5,0.366436990598838,2.20570833683014,-0.436000744877095,0.343548048111104
fbxa-200,1.00019562244415,-0.0441967360675335,4.71249133116838e-5,1.98960286192439e-5,0.375045111527046,2.14677193760872,-0.425916490915662,0.331785866011477
R07C3.16,0.994043350219727,-0.0477912463247776,4.69515255292228e-5,2.02653842799964e-5,0.367474600176016,2.1814668794472998,-0.434772720962398,0.338748612473307
fbxc-35,0.997904300689697,-0.0449000410735607,4.69015872576926e-5,1.97765142804438e-5,0.375933165103197,2.16656643748283,-0.424889407374552,0.3357715574574
fbxc-41,0.998675882816315,-0.0471405945718288,4.73090783876232e-5,2.08644403243881e-5,0.360004452864329,2.17773572802544,-0.443692263872783,0.338005163851678
fbxc-57,0.995022356510162,-0.0476273000240326,4.67173133425072e-5,2.03221875711213e-5,0.358126605798801,2.17490646243095,-0.445963639469207,0.337440564944001
fbxc-6,0.996324121952057,-0.0444878675043583,4.58975641695089e-5,1.95743914025434e-5,0.366735306878885,2.13640140096346,-0.435647322123251,0.32968265588561
fbxc-16,0.998175501823425,-0.0463509559631348,4.77016826502797e-5,2.0195246609667e-5,0.363546829422315,2.17255482077598,-0.439439972919795,0.336970360783081
fbxb-28,0.999440312385559,-0.0442181900143623,4.81407984278848e-5,1.9525752247473e-5,0.372919787218173,2.1985200603803,-0.428384833689553,0.34213041348469603
F45D11.4,0.993710279464722,-0.0482006445527077,4.68037206390413e-5,2.06249759413839e-5,0.363449686517318,2.13001249829928,-0.439555721654784,0.328382151659661
F45D11.3,0.992962300777435,-0.0478474386036396,4.69534170360655e-5,1.99572277541015e-5,0.353913147499164,2.16958608229955,-0.451103306933782,0.336376783275806
F45D11.2,0.992304503917694,-0.0495016127824783,4.79742555844795e-5,2.03339289458453e-5,0.359685135384401,2.16779395739237,-0.444078081048936,0.336017943509437
F45D11.1,1.00439596176147,-0.0420588627457619,4.78404830250747e-5,1.97139737591239e-5,0.37083778878053,2.16838370164235,-0.430816159500063,0.336135918614117
K02E7.6,1.00554096698761,-0.0450712479650974,4.80651774088535e-5,2.15249311686954e-5,0.36492376079162,2.20328213175138,-0.437798121845072,0.343070096020231
K02E7.5,0.992808997631073,-0.0475587286055088,4.64423045346568e-5,2.0005100911064e-5,0.361350400745869,2.13385928869247,-0.442071663125201,0.329165775336888
T23F4.1,0.989047646522522,-0.0504990555346012,4.68877647821592e-5,2.04870854947935e-5,0.356752228736877,2.1660102546215,-0.447633492366168,0.335660433832581
T23F4.5,0.987640738487244,-0.0500874221324921,4.64132341594458e-5,1.99657051529039e-5,0.357465008894602,2.1159485300382,-0.446766471563155,0.325505098608567
Y57G7A.8,0.991028785705566,-0.0488868393003941,4.71909697943246e-5,2.00966739692533e-5,0.36274411007762,2.14192927281062,-0.440399647945814,0.330805119922697
lips-14,0.989707112312317,-0.0516118332743645,4.84809280876595e-5,2.10269656656691e-5,0.345516722897689,2.1515839099884,-0.461531097009043,0.332758287873529
fbxa-161,0.999054789543152,-0.0461556389927864,5.45277414586823e-5,1.98296797798881e-5,0.362855695188046,2.11294148763021,-0.440266096008619,0.324886989361518
fbxa-162,0.992031335830688,-0.0480157546699047,4.6955901903243e-5,1.99407646905442e-5,0.364119493961334,2.17790997028351,-0.438756069508491,0.338039531400356
fbxa-159,0.996795117855072,-0.0469526872038841,4.70677434449696e-5,2.04478203806373e-5,0.358265525599321,2.16575355529785,-0.445794980191391,0.335609028234214
fbxb-12,0.996614933013916,-0.0457226186990738,4.71076785362556e-5,1.98124752119734e-5,0.362775252511104,2.17965000867844,-0.440362604956001,0.338386763115268
C08F1.13,0.991797864437103,-0.0501634478569031,4.71151462897736e-5,2.10407668966282e-5,0.361191224058469,2.15903638203939,-0.442262811766819,0.334259885340751
math-11,0.997156620025635,-0.0459238067269325,4.7064249748338e-5,1.99880892707293e-5,0.370544286320607,2.16237205465635,-0.431160054444854,0.334930374676785
math-30,0.996442258358002,-0.0481460504233837,4.75017874155542e-5,2.0698575653608e-5,0.345402837047974,2.18255295554797,-0.461674111808565,0.338964782911462
math-47,0.988598942756653,-0.0506538301706314,4.66822651426742e-5,2.03541219203878e-5,0.358273818840583,2.14507441918055,-0.445784943005399,0.331442271368126
F59H6.2,0.999876976013184,-0.0451487489044666,4.68615305939962e-5,2.02749969823438e-5,0.359722606837749,2.15712829033534,-0.444032359579258,0.333875971608455
btb-3,1.00332951545715,-0.0453302785754204,4.87686099697568e-5,2.06413165127515e-5,0.362084747602542,2.19012311498324,-0.441189769715443,0.340468521734524
bath-14,0.998220682144165,-0.0444542579352856,4.73371232937716e-5,1.95730420263058e-5,0.370688141137362,2.1597668727239,-0.430991315886839,0.334406874324007
F07E5.10,0.994145810604095,-0.0494071245193481,4.76807062526815e-5,2.08408784117903e-5,0.356115879366795,2.17741228143374,-0.448408660564893,0.337940668176512
math-35,0.998522281646729,-0.0442865639925003,4.70990469193257e-5,1.9601521914255e-5,0.371444328625997,2.15365097125371,-0.430106542420867,0.333175274338093
F16G10.15,1.00430572032928,-0.0428657568991184,4.7323609087233e-5,1.99955456959101e-5,0.369104123612245,2.15885276794434,-0.432851155232903,0.33422302480277
F08D12.5,1.00790083408356,-0.0408470071852207,4.80746413844873e-5,1.97302229478351e-5,0.371550429364045,2.16485514243444,-0.429982273562267,0.335428688165492
F39E9.28,1.00392782688141,-0.0446650646626949,4.97927183840885e-5,2.02151708530369e-5,0.369575572013855,2.20238724549611,-0.43229677717187,0.342893587070472
F39E9.1,0.995334267616272,-0.046425849199295,4.71039821770739e-5,1.99011760589992e-5,0.363744909564654,2.15600451628367,-0.439203366332726,0.333649365435675
clec-131,0.991615116596222,-0.0481117479503155,4.74823201052766e-5,1.97162110013485e-5,0.365678084890048,2.16822608113289,-0.436901136568122,0.336104557639003
C46E10.9,0.999752938747406,-0.0444945767521858,4.84115484919811e-5,1.97127473252044e-5,0.376748971641064,2.13427066604296,-0.423947928605834,0.329249492083553
F12E12.3,0.998090445995331,-0.0441888310015202,4.65829237366595e-5,1.96613679130109e-5,0.367829705029726,2.15530050595601,-0.434353213044331,0.333507827717041
fbxa-146,1.00195157527924,-0.0449074022471905,4.87675527615114e-5,2.02030377765965e-5,0.368285805483659,2.15810837546984,-0.433815027075717,0.33407323302487
F53C3.5,0.997549891471863,-0.0475708544254303,4.80639714163371e-5,2.07276972213121e-5,0.365470349788666,2.18704538544019,-0.437147851115152,0.339857790985348
K07D4.1,1.00024652481079,-0.04705560952425,4.7228648957639e-5,2.13815125351427e-5,0.357551007469495,2.1255330423514,-0.446661994692084,0.327467859841296
msp-42,0.985859870910645,-0.0520936660468578,4.62385118882709e-5,2.0829405811761e-5,0.355886164059242,2.14016803503036,-0.448689481731721,0.330447870546457
C33F10.26,0.995050013065338,-0.0487702339887619,4.74951742255628e-5,2.09537273835277e-5,0.351447925964991,2.159962195158,-0.454139992919873,0.334446143744494
ZK546.7,0.999903738498688,-0.0438272804021835,4.69721026794426e-5,1.96726468232523e-5,0.369295816868544,2.18089293042819,-0.432625645094451,0.338634304203408
basl-2,0.99841582775116,-0.0467830114066601,4.75693238234402e-5,2.046863992676e-5,0.364046530425549,2.15197898944219,-0.438843157171906,0.332838022435964
F12A10.2,1.00475084781647,-0.043665949255228,4.94452170969151e-5,2.0037409545066e-5,0.370342382540305,2.19691567818324,-0.431396590703808,0.341813377382984
F59E12.16,1.00199115276337,-0.0443193428218365,4.75018815245167e-5,2.02462261430407e-5,0.366069504121939,2.17963279485702,-0.436436449685821,0.338383301913205
F59E12.16,0.996973752975464,-0.0481953322887421,4.93558155888461e-5,2.06369602319935e-5,0.360302843650182,2.17795816063881,-0.443332310247127,0.338049528695279
F59E12.16,0.999316811561584,-0.0454919077455997,4.81199453225979e-5,2.00588528654454e-5,0.35959736953179,2.20690404375394,-0.444183502663194,0.343783331780348
R12C12.8,0.991745710372925,-0.0493584312498569,4.79441218570973e-5,2.03018894359189e-5,0.362998410562674,2.14076796571414,-0.440095352800921,0.330569589169042
F21H12.2,0.997722089290619,-0.044759850949049,4.73950859332279e-5,1.96381959710487e-5,0.372588251779477,2.17645564079285,-0.428770843945878,0.33774971528194
C29F5.5,0.995862722396851,-0.0454827360808849,4.62334020576067e-5,1.98683777743977e-5,0.369845228393873,2.12268427610397,-0.431979989375798,0.326885277482384
sdz-3,0.994235575199127,-0.04931266233325,4.69671821180265e-5,2.10935204104892e-5,0.360133734842141,2.163866207997,-0.443536196038564,0.335230336175765
K03H9.1,0.999119460582733,-0.0466212071478367,4.75742917325354e-5,2.05799333260112e-5,0.358412700891495,2.17347463766734,-0.445616621310579,0.337154574030624
F31E8.6,0.991756916046143,-0.0496163927018642,4.68272188167063e-5,2.05951330287816e-5,0.363714697957039,2.18996367255847,-0.439240300130618,0.340436796720511
T02G5.11,0.994308412075043,-0.0464327558875084,4.62741843992022e-5,1.98160210934263e-5,0.368992871542772,2.11703412731489,-0.432982024915839,0.32572785207813
T02G5.4,0.993189454078674,-0.0467994436621666,4.66178292648562e-5,1.9709823607164e-5,0.363485207160314,2.17809984087944,-0.439513259633347,0.33807778161213897
F10E7.3,0.986068427562714,-0.0497653186321259,4.62591114605936e-5,1.97229485931157e-5,0.367265217999617,2.13003312349319,-0.435020255886372,0.328386332733929
F43E2.12,1.00051808357239,-0.0443713590502739,4.82287075344941e-5,1.97683562023946e-5,0.371426308900118,2.18524795373281,-0.430127379966146,0.339500637761257
T05A6.5,0.989252924919128,-0.0497170090675354,4.7187523115544e-5,2.00272726582619e-5,0.356308020899693,2.14783238371213,-0.448174416279983,0.332000376847438
F14E5.7,0.995072662830353,-0.0470465160906315,4.73328907790897e-5,2.00242562649399e-5,0.359587197254101,2.13719754616419,-0.444195785035471,0.329844666145906
M05D6.10,1.0020763874054,-0.0442073158919811,4.78054992686656e-5,2.00402111148136e-5,0.36565101146698,2.17442588210106,-0.436933319094933,0.337344526202839
F07H5.3,1.00292408466339,-0.044236034154892,4.81013586136953e-5,2.01009323593628e-5,0.368069925407569,2.21044616699219,-0.434069727394163,0.344479942537649
F07H5.4,0.997025668621063,-0.0470642410218716,4.71918697102336e-5,2.06629218812487e-5,0.357596698155006,2.15657382011413,-0.446606535807757,0.333764294846991
B0457.3,0.996790826320648,-0.0457885190844536,4.71955244554958e-5,1.9825441106685e-5,0.365702386945486,2.16066980163256,-0.436872256369611,0.334588386015788
C06C3.5,0.997657239437103,-0.0488118380308151,4.83897912505137e-5,2.1033880253506e-5,0.354214852551619,2.21250915527344,-0.450733270527667,0.34488505522064
Y51B9A.10,0.994216799736023,-0.0474748015403748,4.66776220910171e-5,2.0177941109781e-5,0.363685837884744,2.15549868146578,-0.439273611536177,0.333547758554429
Y51B9A.2,0.991868138313293,-0.0509245097637177,4.76672441276949e-5,2.11652603232895e-5,0.361812772601843,2.16301149129868,-0.441516117368435,0.335058826540564
R09D1.4,0.992975473403931,-0.0469385087490082,4.68762477072917e-5,1.97152086197339e-5,0.368185992787282,2.14143056074778,-0.433932767380968,0.330703976550808
R09D1.9,0.995982646942139,-0.0464958325028419,4.69447126167708e-5,1.99267876869507e-5,0.366095065077146,2.12886877059936,-0.436406126066689,0.328148873116684
sra-15,0.992108404636383,-0.0471992380917072,4.60342864195938e-5,1.985255597934e-5,0.363512228180965,2.13545497457186,-0.439480975340166,0.329490418811918
cyp-13A9,0.999249041080475,-0.0476117841899395,4.79072293718316e-5,2.11989068675607e-5,0.361978030204773,2.16335364381472,-0.441317793864256,0.335127501759507
C08H9.9,1.00143265724182,-0.0443080887198448,4.68843132939575e-5,2.04008007967022e-5,0.366134552160899,2.14944049119949,-0.436359640225702,0.332325313071505
