,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00000044,35.05565131,5.131575134,0.162630582,31.55356805,1.60E-218,6.19E-218
WBGene00000045,6.564020207,2.71457968,0.179320266,15.13816447,9.07E-52,2.51E-51
WBGene00000046,25.63718451,4.680165928,0.153077098,30.57391334,2.72E-205,1.03E-204
WBGene00000047,64.78213101,6.017524021,0.15143821,39.73583692,0,0
WBGene00000048,14.61037865,3.868921663,0.143153016,27.02647687,7.22E-161,2.56E-160
WBGene00000049,9.035161203,3.175550342,0.168531241,18.84250256,3.39E-79,1.01E-78
WBGene00000050,17.27782984,4.110850116,0.139839111,29.39699827,6.00E-190,2.23E-189
WBGene00000051,41.67780777,5.381207489,0.13265943,40.56407832,0,0
WBGene00000053,19.64456996,4.296058681,0.165059228,26.02737659,2.43E-149,8.43E-149
WBGene00000054,25.12508433,4.651056533,0.127830705,36.38450194,7.49E-290,3.20E-289
WBGene00000055,36.36651711,5.184538857,0.092457151,56.07504443,0,0
WBGene00000056,42.33119074,5.403649166,0.173187717,31.20111099,1.03E-213,3.95E-213
WBGene00000057,17.68287219,4.144280722,0.151848542,27.29219972,5.25E-164,1.87E-163
WBGene00000058,29.56867211,4.88599755,0.135191985,36.1411776,5.12E-286,2.17E-285
WBGene00000059,41.36277081,5.370260927,0.15384249,34.90752738,5.72E-267,2.37E-266
WBGene00000060,22.01834275,4.460633981,0.176861368,25.22107588,2.35E-140,8.04E-140
WBGene00000061,11.97262267,3.581667312,0.167574909,21.37352976,2.36E-101,7.43E-101
WBGene00000062,14.75970067,3.883591559,0.171584826,22.63365386,2.02E-113,6.55E-113
WBGene00000063,1811.492785,10.82296334,0.096434907,112.230764,0,0
WBGene00000064,4294.000701,12.06810671,0.088012504,137.1180933,0,0
WBGene00000065,2155.001236,11.07347298,0.090479662,122.3863212,0,0
WBGene00000066,12264.5788,13.58221007,0.104814636,129.5831435,0,0
WBGene00000067,2750.393654,11.42542241,0.151873478,75.22987277,0,0
WBGene00000068,342.8768342,8.421546625,0.127608928,65.99496403,0,0
WBGene00000069,47.05267106,5.556204718,0.147228215,37.73872236,0,0
WBGene00000070,206.7397646,7.691672095,0.118168722,65.09059233,0,0
WBGene00000071,61.99896113,5.954172137,0.128590398,46.30339619,0,0
WBGene00000072,93.87801043,6.552715362,0.126077756,51.97360417,0,0
WBGene00000073,263.3765925,8.040983322,0.109825507,73.21599069,0,0
WBGene00000074,216.1556347,7.755926634,0.081210365,95.50414648,0,0
WBGene00000075,58.75136614,5.876550494,0.048667321,120.7494145,0,0
WBGene00000079,560.1654119,9.129709095,0.04475519,203.9921857,0,0
WBGene00000080,322.330137,8.332395273,0.050220441,165.9164088,0,0
WBGene00000081,479.9661489,8.906788849,0.103794227,85.81198723,0,0
WBGene00000082,93.63897356,6.549037215,0.137751591,47.54237066,0,0
WBGene00000083,239.601525,7.90449328,0.138754328,56.96754376,0,0
WBGene00000084,29.375826,4.876557513,0.137505764,35.46438627,1.74E-275,7.29E-275
WBGene00000085,18.3230444,4.195587324,0.143861609,29.16405114,5.54E-187,2.05E-186
WBGene00000086,350.71168,8.454141668,0.134886194,62.67610785,0,0
WBGene00000088,66.30522952,6.051050756,0.164553014,36.77265228,5.05E-296,2.17E-295
WBGene00000089,103.4307627,6.69252153,0.13947516,47.98360889,0,0
WBGene00000090,281.3842032,8.136397528,0.065545703,124.1331944,0,0
WBGene00000092,332.0888344,8.375425406,0.083000217,100.9084757,0,0
WBGene00000093,76.77283205,6.262523963,0.073218752,85.53169443,0,0
WBGene00000094,89.66468842,6.486468032,0.062414707,103.9253147,0,0
WBGene00000095,236.3452351,7.884751969,0.06752055,116.7755882,0,0
WBGene00000096,44.67233031,5.481309609,0.120430923,45.51413775,0,0
WBGene00000097,169.2600828,7.403097967,0.057640886,128.4348403,0,0
WBGene00000098,455.8286399,8.832347762,0.088978128,99.26425745,0,0
WBGene00000099,262.5046929,8.036199404,0.103213848,77.85970191,0,0
WBGene00000100,1838.1829,10.84406461,0.115326185,94.0295091,0,0
WBGene00000101,659.077094,9.364303421,0.056574844,165.520624,0,0
WBGene00000102,866.1207249,9.75842432,0.081824242,119.260797,0,0
WBGene00000103,247.5993806,7.951863895,0.109206667,72.81482103,0,0
WBGene00000105,2669.214658,11.38219962,0.114305715,99.57682017,0,0
WBGene00000106,945.1445936,9.884391248,0.086904991,113.7379014,0,0
WBGene00000107,725.1790661,9.502193469,0.077280301,122.9575108,0,0
WBGene00000108,17.92497962,4.163899573,0.40091936,10.38587804,2.88E-25,7.18E-25
WBGene00000109,610.5834588,9.254044696,0.091567141,101.0629424,0,0
WBGene00000110,595.0887363,9.216961001,0.048676667,189.3506998,0,0
WBGene00000111,54.21022276,5.76049303,0.116627181,49.39237151,0,0
WBGene00000112,300.4635671,8.231046257,0.07348883,112.0040449,0,0
WBGene00000113,190.015324,7.569971961,0.092405758,81.92099851,0,0
WBGene00000114,4091.91435,11.99856023,0.113834972,105.403111,0,0
WBGene00000115,668.6788955,9.385169774,0.079480386,118.0815826,0,0
WBGene00000116,88.58048503,6.468916992,0.089305612,72.43572767,0,0
WBGene00000117,126.2434977,6.980065272,0.058526811,119.2626951,0,0
WBGene00000118,258.613688,8.014654827,0.093326076,85.87797967,0,0
WBGene00000120,378.2133697,8.563056553,0.105423536,81.2252834,0,0
WBGene00000121,548.9846146,9.100621908,0.097666662,93.18043397,0,0
WBGene00000122,788.6147116,9.623176814,0.064878961,148.3250766,0,0
WBGene00000123,1583.588261,10.62898156,0.058593826,181.4010509,0,0
WBGene00000133,35.95091744,5.167956683,0.253126553,20.41649377,1.19E-92,3.69E-92
WBGene00000134,11.59052931,3.534874546,0.158260191,22.33584149,1.66E-110,5.34E-110
WBGene00000135,44.9702312,5.490898396,0.178371218,30.78354493,4.35E-208,1.66E-207
WBGene00000136,101.5288322,6.665745672,0.165103221,40.37320195,0,0
WBGene00000137,145.9161856,7.188996111,0.06706961,107.1870862,0,0
WBGene00000138,118.5428309,6.889264605,0.116364832,59.20400915,0,0
WBGene00000139,29.09912748,4.86290399,0.105775595,45.97378035,0,0
WBGene00000140,1287.485271,10.33034021,0.122542987,84.29972557,0,0
WBGene00000142,276.9948853,8.113715527,0.064833788,125.1464063,0,0
WBGene00000143,170.3546139,7.412397212,0.055482349,133.599196,0,0
WBGene00000144,52.60272291,5.717065576,0.11335958,50.43301642,0,0
WBGene00000145,168.9830882,7.400735059,0.08791893,84.17681029,0,0
WBGene00000146,795.4467434,9.635621533,0.046769285,206.0245615,0,0
WBGene00000147,146.2350411,7.192145244,0.065638721,109.5716849,0,0
WBGene00000148,231.5150133,7.854961942,0.062701083,125.2763367,0,0
WBGene00000149,4024.006231,11.97441682,0.108461549,110.4024143,0,0
WBGene00000150,371.4188644,8.536903282,0.098587403,86.59223184,0,0
WBGene00000151,95.4578862,6.576792485,0.075310914,87.32854444,0,0
WBGene00000155,481.0036766,8.909904111,0.097397364,91.47993032,0,0
WBGene00000156,574.139267,9.165256919,0.062230359,147.279513,0,0
WBGene00000157,248.8008036,7.958847335,0.077817101,102.2763278,0,0
WBGene00000158,670.3599967,9.388792249,0.051442348,182.5109596,0,0
WBGene00000159,248.1198692,7.954893459,0.075141278,105.8658258,0,0
WBGene00000160,967.2740444,9.917780876,0.069181999,143.3578242,0,0
WBGene00000161,928.6709536,9.859023702,0.078112088,126.2163642,0,0
WBGene00000162,310.7642944,8.279676943,0.051152328,161.8631495,0,0
WBGene00000163,436.5899186,8.770135007,0.047439581,184.8695703,0,0
WBGene00000164,237.3351571,7.890782017,0.069640711,113.3070289,0,0
WBGene00000165,622.5363504,9.28201427,0.126601229,73.31693651,0,0
WBGene00000166,49.16098277,5.619441851,0.163902957,34.28517669,1.31E-257,5.34E-257
WBGene00000168,217.0232909,7.76170607,0.129112208,60.11597363,0,0
WBGene00000169,89.10700726,6.477466983,0.171328996,37.80718465,0,0
WBGene00000170,4423.139543,12.11085504,0.138692045,87.32191548,0,0
WBGene00000171,13.5119717,3.756166306,0.303835519,12.36249903,4.17E-35,1.09E-34
WBGene00000172,128.7461333,7.008385293,0.149212164,46.96926249,0,0
WBGene00000173,9.70094409,3.278125156,0.200670337,16.33587307,5.48E-60,1.56E-59
WBGene00000174,22.86068265,4.51479658,0.142358839,31.71419913,9.90E-221,3.84E-220
WBGene00000175,498.8275388,8.962397304,0.136671543,65.57617686,0,0
WBGene00000176,114.1185085,6.834388986,0.173016109,39.50146048,0,0
WBGene00000177,24.78639105,4.631476322,0.140838159,32.88509561,3.59E-237,1.43E-236
WBGene00000178,410.1992408,8.680181011,0.094038605,92.30444281,0,0
WBGene00000179,185.2507673,7.533335708,0.084060422,89.61810487,0,0
WBGene00000180,104.3359479,6.705092499,0.074928355,89.48671693,0,0
WBGene00000181,657.2450831,9.360287634,0.090610996,103.3018958,0,0
WBGene00000182,2374.267007,11.21326647,0.062445216,179.5696642,0,0
WBGene00000183,2636.291507,11.36429419,0.058216948,195.2059409,0,0
WBGene00000184,148.5227567,7.214540188,0.061509311,117.2918396,0,0
WBGene00000185,3.488257149,1.802506397,0.204690053,8.806028311,1.30E-18,3.13E-18
WBGene00000186,320.9106365,8.326027798,0.078126362,106.5712975,0,0
WBGene00000187,228.5291792,7.836234574,0.065359197,119.8949023,0,0
WBGene00000188,97.91301141,6.613428683,0.144184896,45.86769397,0,0
WBGene00000189,83.45226463,6.382879295,0.073023529,87.40852977,0,0
WBGene00000190,11.64133919,3.541185127,0.196786933,17.99502172,2.13E-72,6.27E-72
WBGene00000191,8.779661818,3.13416537,0.18887773,16.59362047,7.75E-62,2.21E-61
WBGene00000192,526.240919,9.039579622,0.046764965,193.2981149,0,0
WBGene00000193,16.8564646,4.075230078,0.135397103,30.09835498,5.09E-199,1.91E-198
WBGene00000195,219.5515667,7.778416019,0.064992363,119.682,0,0
WBGene00000196,75.34807946,6.235498834,0.073944475,84.32677152,0,0
WBGene00000197,1099.360795,10.10244922,0.056468466,178.9042631,0,0
WBGene00000198,723.8357855,9.499518624,0.053990993,175.9463576,0,0
WBGene00000199,484.636934,8.920760546,0.057688284,154.6373014,0,0
WBGene00000200,533.0739624,9.058191906,0.043056474,210.3793259,0,0
WBGene00000201,503.7779728,8.976644233,0.054844947,163.6731331,0,0
WBGene00000202,116.4591857,6.863680626,0.088633432,77.43895776,0,0
WBGene00000203,194.0495294,7.600281124,0.065469385,116.0890871,0,0
WBGene00000204,403.781308,8.657430316,0.074127607,116.7909048,0,0
WBGene00000205,156.2878307,7.288061637,0.068331984,106.656667,0,0
WBGene00000206,574.4515536,9.166041418,0.095862912,95.61613778,0,0
WBGene00000207,1819.899184,10.82964282,0.078786111,137.4562435,0,0
WBGene00000208,175.5811943,7.455994523,0.064730892,115.1844868,0,0
WBGene00000209,717.6709634,9.487178741,0.111259225,85.27094026,0,0
WBGene00000210,668.2185251,9.384176169,0.095166506,98.60797167,0,0
WBGene00000211,85.30318153,6.414527645,0.120845457,53.08042025,0,0
WBGene00000212,51.03555556,5.673430792,0.168842842,33.60184373,1.58E-247,6.35E-247
WBGene00000213,39.26740949,5.29526052,0.239910486,22.07181777,5.90E-108,1.89E-107
WBGene00000214,7065.020028,12.78647794,0.198519196,64.40927722,0,0
WBGene00000215,1432.486461,10.48430579,0.184124842,56.94128874,0,0
WBGene00000216,2132.40694,11.05826707,0.176247888,62.74269253,0,0
WBGene00000217,1218.595644,10.25100377,0.099706262,102.8120362,0,0
WBGene00000218,2208.147206,11.10862064,0.195545948,56.80823726,0,0
WBGene00000219,2972.884813,11.53764785,0.20816198,55.42629764,0,0
WBGene00000220,517.1169013,9.014346648,0.178908259,50.38530203,0,0
WBGene00000221,517.1225601,9.014362435,0.094786815,95.10143872,0,0
WBGene00000222,231.2914912,7.853568383,0.080718518,97.29574494,0,0
WBGene00000223,1230.805852,10.26538749,0.062621257,163.9281616,0,0
WBGene00000224,792.0144696,9.629382977,0.108436904,88.80171446,0,0
WBGene00000225,315.1783226,8.300024502,0.094441149,87.88567864,0,0
WBGene00000226,309.8373403,8.275367212,0.071823991,115.2173123,0,0
WBGene00000227,241.9331141,7.918464439,0.068576616,115.4688717,0,0
WBGene00000228,749.5967037,9.549970799,0.102786838,92.91044404,0,0
WBGene00000229,9681.914834,13.24107669,0.063088339,209.8815238,0,0
WBGene00000230,2361.22608,11.20532047,0.069469069,161.299418,0,0
WBGene00000231,1329.747997,10.37693715,0.067539659,153.6421323,0,0
WBGene00000232,111.8470117,6.805382902,0.134279454,50.6807459,0,0
WBGene00000233,147.8564307,7.208053182,0.164862441,43.721621,0,0
WBGene00000235,808.629146,9.659334394,0.103022241,93.75970029,0,0
WBGene00000236,177.3239199,7.47024335,0.074249225,100.6103878,0,0
WBGene00000237,387.1106452,8.596602171,0.10680945,80.48540792,0,0
WBGene00000238,138.4750662,7.113482418,0.12046021,59.05254856,0,0
WBGene00000239,78.33275019,6.291543706,0.116179464,54.15366461,0,0
WBGene00000240,419.9964424,8.714233297,0.120235099,72.47661742,0,0
WBGene00000241,35.96890395,5.168678293,0.150570911,34.32720343,3.08E-258,1.26E-257
WBGene00000242,38.37374907,5.262047816,0.154176868,34.12994364,2.65E-255,1.08E-254
WBGene00000244,38.79487223,5.277794069,0.14555282,36.26033532,6.83E-288,2.91E-287
WBGene00000245,100.319018,6.648451321,0.107626857,61.7731624,0,0
WBGene00000246,47.63618815,5.573986068,0.184595441,30.19568658,2.70E-200,1.02E-199
WBGene00000247,205.3776563,7.682135425,0.051938749,147.9075942,0,0
WBGene00000248,423.7411874,8.727039554,0.089338177,97.68544455,0,0
WBGene00000249,416.0124321,8.700482832,0.100103356,86.91499687,0,0
WBGene00000250,70.79303976,6.145535619,0.108584809,56.59664234,0,0
WBGene00000251,58.69349679,5.875128757,0.212539303,27.64255216,3.43E-168,1.23E-167
WBGene00000252,92.13360926,6.525655626,0.24599197,26.52792136,4.62E-155,1.62E-154
WBGene00000253,358.834242,8.487173757,0.12182995,69.66409971,0,0
WBGene00000254,1025.570947,10.00221158,0.056002527,178.6028619,0,0
WBGene00000255,8.646880489,3.11217975,0.184860559,16.83528258,1.35E-63,3.86E-63
WBGene00000256,175.4679371,7.455063623,0.325570368,22.89847101,4.81E-116,1.57E-115
WBGene00000257,369.0630737,8.527723587,0.088903406,95.92122475,0,0
WBGene00000259,156.2348532,7.287572519,0.084066621,86.68806309,0,0
WBGene00000262,148.3829203,7.213181229,0.109601758,65.81264148,0,0
WBGene00000263,1740.383095,10.76518919,0.100203753,107.432994,0,0
WBGene00000264,138.7443033,7.116284726,0.111045696,64.08429114,0,0
WBGene00000265,128.6443571,7.007244366,0.084462359,82.96292534,0,0
WBGene00000266,348.8416275,8.446428398,0.107163343,78.81826154,0,0
WBGene00000267,38.98469091,5.284835791,0.130190456,40.59311228,0,0
WBGene00000268,344.5806403,8.428697838,0.080346972,104.9037394,0,0
WBGene00000269,72.66340081,6.183156984,0.052336214,118.1429937,0,0
WBGene00000270,53.38743951,5.738428453,0.066856434,85.83210526,0,0
WBGene00000271,215.1061913,7.748905239,0.043066243,179.9299088,0,0
WBGene00000272,50.06500109,5.645730507,0.172738891,32.68360974,2.67E-234,1.06E-233
WBGene00000273,3465.751359,11.75895244,0.164067928,71.6712436,0,0
WBGene00000274,184.497271,7.527455666,0.065429426,115.0469471,0,0
WBGene00000275,728.4275906,9.508641758,0.095535209,99.53023436,0,0
WBGene00000276,909.8819197,9.829535521,0.068964123,142.5311455,0,0
WBGene00000277,2534.683131,11.30758969,0.160432267,70.48201645,0,0
WBGene00000279,51.35174005,5.682341258,0.098047977,57.95470176,0,0
WBGene00000280,38.13459347,5.253028415,0.133792781,39.26242027,0,0
WBGene00000281,209.7808773,7.712739364,0.187985947,41.02827628,0,0
WBGene00000282,423.6562204,8.726750241,0.14148586,61.67931009,0,0
WBGene00000283,99.1616225,6.631709972,0.13620178,48.69033248,0,0
WBGene00000284,224.9063657,7.813180685,0.161447311,48.39461647,0,0
WBGene00000285,66.33202417,6.051633646,0.150236198,40.28079613,0,0
WBGene00000286,94.31899401,6.559476426,0.154467293,42.46514786,0,0
WBGene00000287,16.12013185,4.010791639,0.140219346,28.60369665,6.04E-180,2.20E-179
WBGene00000288,107.1303183,6.743223015,0.186893497,36.08056531,4.58E-285,1.94E-284
WBGene00000289,1114.744206,10.12249699,0.0794271,127.4438701,0,0
WBGene00000292,521.2223368,9.025755101,0.046260052,195.1090563,0,0
WBGene00000293,893.0456283,9.802590078,0.050898529,192.5908319,0,0
WBGene00000294,576.9523266,9.172308304,0.050011769,183.4029978,0,0
WBGene00000295,41.45340181,5.373418594,0.1443853,37.2158288,3.79E-303,1.64E-302
WBGene00000296,24.30592881,4.60323636,0.15006822,30.67429177,1.25E-206,4.77E-206
WBGene00000298,140.3188049,7.132564556,0.136563692,52.22884963,0,0
WBGene00000301,3176.840094,11.63337676,0.188618546,61.67673851,0,0
WBGene00000302,106.2297987,6.731044705,0.150823634,44.62858056,0,0
WBGene00000308,1.510932458,0.59543917,0.288736138,2.062225997,0.039186225,0.042160709
WBGene00000310,0.047096064,-4.408249683,1.071222861,-4.115156468,3.87E-05,6.55E-05
WBGene00000311,0,NA,NA,NA,NA,NA
WBGene00000366,2576.290118,11.33107935,0.072338119,156.6405032,0,0
WBGene00000367,223.7315521,7.805624919,0.135594716,57.56584873,0,0
WBGene00000368,343.3218389,8.42341782,0.121193317,69.50397973,0,0
WBGene00000369,628.9886447,9.296890162,0.063692697,145.9647746,0,0
WBGene00000370,592.6340573,9.210997727,0.170063858,54.16199442,0,0
WBGene00000371,1440.898796,10.49275329,0.079678988,131.6878339,0,0
WBGene00000372,3.861240907,1.949064568,0.197164056,9.885496408,4.81E-23,1.19E-22
WBGene00000373,82.78588105,6.371312835,0.162029408,39.32195333,0,0
WBGene00000374,225.4123575,7.816422799,0.123800954,63.13701587,0,0
WBGene00000375,73.18395214,6.193455422,0.076177156,81.30331663,0,0
WBGene00000376,1639.680444,10.67919896,0.051274006,208.2770559,0,0
WBGene00000377,1607.991454,10.65104402,0.060524847,175.9780411,0,0
WBGene00000378,1137.066312,10.15110068,0.061757265,164.3709549,0,0
WBGene00000379,1556.11877,10.60373646,0.061509972,172.3905255,0,0
WBGene00000380,2962.136193,11.53242226,0.058592904,196.822847,0,0
WBGene00000381,1177.248414,10.20120306,0.06694,152.3932345,0,0
WBGene00000382,178.4861531,7.479668345,0.062203835,120.2444879,0,0
WBGene00000383,963.9383626,9.912797088,0.054708907,181.1916483,0,0
WBGene00000386,458.9290845,8.84212743,0.096212398,91.90216198,0,0
WBGene00000387,639.1739969,9.320064907,0.117974659,79.00056683,0,0
WBGene00000388,98.39189041,6.620467507,0.183101784,36.15730752,2.86E-286,1.21E-285
WBGene00000389,8.301939579,3.053448432,0.193984586,15.74067559,7.96E-56,2.23E-55
WBGene00000390,957.4555585,9.903061714,0.045586432,217.2370415,0,0
WBGene00000391,94.57912386,6.563449872,0.121256463,54.12866004,0,0
WBGene00000392,123.1643461,6.944440871,0.079804827,87.01780498,0,0
WBGene00000393,209.9143746,7.713657153,0.068522817,112.570637,0,0
WBGene00000395,362.1066484,8.500270855,0.141106151,60.24025744,0,0
WBGene00000396,1553.905493,10.60168305,0.103554825,102.37749,0,0
WBGene00000397,395.3823891,8.627104803,0.167343122,51.55338757,0,0
WBGene00000399,42.09922269,5.395721691,0.211687478,25.48909244,2.60E-143,8.94E-143
WBGene00000401,180.7865825,7.498143799,0.162685747,46.08974008,0,0
WBGene00000402,55.13441839,5.784881316,0.183315695,31.55693422,1.44E-218,5.57E-218
WBGene00000403,2645.617854,11.36938897,0.141186365,80.5275279,0,0
WBGene00000405,714.0054697,9.479791316,0.106261741,89.21170739,0,0
WBGene00000406,133.9943767,7.066028646,0.115520265,61.16700535,0,0
WBGene00000407,177.4261398,7.471074764,0.047515383,157.2348621,0,0
WBGene00000408,213.1918885,7.736008737,0.058373064,132.5270293,0,0
WBGene00000409,218.2558013,7.769876192,0.055310493,140.477436,0,0
WBGene00000410,193.1166766,7.593328944,0.034922639,217.4328499,0,0
WBGene00000411,1197.847357,10.22622836,0.103397426,98.9021559,0,0
WBGene00000412,9.694046986,3.277099075,0.152593044,21.47607115,2.61E-102,8.24E-102
WBGene00000413,258.9551503,8.016558442,0.09794004,81.85169662,0,0
WBGene00000414,631.44332,9.30250943,0.098104542,94.82241322,0,0
WBGene00000415,477.6032025,8.8996687,0.057964357,153.5369164,0,0
WBGene00000416,172.0733772,7.426880094,0.072476692,102.4726692,0,0
WBGene00000417,309.124702,8.272045134,0.091202002,90.70025819,0,0
WBGene00000418,195.5641131,7.611497844,0.061423611,123.9181101,0,0
WBGene00000419,347.2697839,8.439913077,0.052094579,162.0113488,0,0
WBGene00000420,150.7253202,7.235777984,0.055946516,129.3338434,0,0
WBGene00000421,723.36679,9.498583555,0.064380401,147.5384343,0,0
WBGene00000422,50.97780279,5.671797287,0.129015467,43.96214985,0,0
WBGene00000423,216.2214347,7.756365739,0.081667679,94.97473024,0,0
WBGene00000424,326.772961,8.352144802,0.070184371,119.0029166,0,0
WBGene00000425,203.8030996,7.671032183,0.109325951,70.16661765,0,0
WBGene00000426,242.3932529,7.921205731,0.044756605,176.9840625,0,0
WBGene00000427,0.474949001,-1.074155488,0.256316425,-4.190739975,2.78E-05,4.79E-05
WBGene00000428,6.143370977,2.619030505,0.158769511,16.49580258,3.93E-61,1.12E-60
WBGene00000429,17.40807879,4.121685087,0.167640005,24.58652442,1.76E-133,5.93E-133
WBGene00000430,31.82710176,4.992183883,0.160885144,31.02948946,2.16E-211,8.26E-211
WBGene00000431,73.3278939,6.196290198,0.110659678,55.99411024,0,0
WBGene00000432,1.490886559,0.576170488,0.29810398,1.932783616,0.05326286,0.056982207
WBGene00000433,39.80202955,5.314770092,0.164656119,32.27799938,1.42E-228,5.59E-228
WBGene00000434,8.281908145,3.049963202,0.158178396,19.28179371,7.64E-83,2.31E-82
WBGene00000435,29.67092232,4.890977869,0.122440003,39.94591428,0,0
WBGene00000436,1.673213006,0.742621117,0.190064814,3.907199356,9.34E-05,0.000150532
WBGene00000437,191.4257337,7.580640977,0.106342002,71.28548327,0,0
WBGene00000438,66.24359709,6.04970911,0.157035921,38.52436488,0,0
WBGene00000439,59.0493823,5.883850063,0.134794203,43.65061654,0,0
WBGene00000440,15.45754305,3.950239119,0.14765441,26.75327556,1.13E-157,3.99E-157
WBGene00000441,197.1826844,7.623389056,0.157282209,48.46949386,0,0
WBGene00000442,14.34669492,3.842646514,0.134512644,28.56717694,1.72E-179,6.27E-179
WBGene00000443,533.3926346,9.059054093,0.103199823,87.78168243,0,0
WBGene00000444,152.3898538,7.25162304,0.103759776,69.8885767,0,0
WBGene00000445,75.37995475,6.236109024,0.167036681,37.33376989,4.65E-305,2.02E-304
WBGene00000446,14.57669627,3.865591873,0.198917983,19.43309407,4.05E-84,1.23E-83
WBGene00000447,32.73465678,5.032746947,0.160806917,31.29683121,5.15E-215,1.98E-214
WBGene00000448,257.1158614,8.006274802,0.139044805,57.58053871,0,0
WBGene00000449,131.126631,7.034816907,0.12586912,55.88993485,0,0
WBGene00000450,2.680003342,1.4222348,0.232004762,6.130196587,8.78E-10,1.97E-09
WBGene00000451,59.80645256,5.902229241,0.164908683,35.79089436,1.53E-280,6.46E-280
WBGene00000452,41.63333049,5.379667067,0.149985127,35.86800361,9.64E-282,4.07E-281
WBGene00000453,398.0990494,8.636983616,0.113798534,75.89714326,0,0
WBGene00000454,14.06894222,3.814441958,0.164321981,23.21321787,3.35E-119,1.10E-118
WBGene00000455,184.0363371,7.523846838,0.142651943,52.74268742,0,0
WBGene00000457,59.781536,5.90162806,0.158464044,37.24269492,1.39E-303,6.04E-303
WBGene00000458,150.2701754,7.231414891,0.098526295,73.39578649,0,0
WBGene00000459,631.2397309,9.302044203,0.050650689,183.6508914,0,0
WBGene00000460,187.7697573,7.552820907,0.116015596,65.10177215,0,0
WBGene00000461,86.8371239,6.440240039,0.147135054,43.7709429,0,0
WBGene00000462,56.64088546,5.823771914,0.072903278,79.88354024,0,0
WBGene00000463,417.0876588,8.704206815,0.139319622,62.47653179,0,0
