geneName,WBID
arl-1,WBGene00000187
arl-3,WBGene00000188
arl-5,WBGene00000189
arf-1.1,WBGene00000190
arl-7,WBGene00000191
arl-8,WBGene00000192
arl-6,WBGene00000193
arr-1,WBGene00000195
aars-1,WBGene00000196
aars-2,WBGene00000197
art-1,WBGene00000198
arx-1,WBGene00000199
arx-2,WBGene00000200
arx-3,WBGene00000201
exos-4.2,WBGene00000202
arx-5,WBGene00000203
arx-6,WBGene00000204
arx-7,WBGene00000205
asb-1,WBGene00000206
asb-2,WBGene00000207
trip-4,WBGene00000208
asg-1,WBGene00000209
asg-2,WBGene00000210
asm-1,WBGene00000211
asm-2,WBGene00000212
asm-3,WBGene00000213
asp-1,WBGene00000214
asp-2,WBGene00000215
asp-3,WBGene00000216
asp-4,WBGene00000217
asp-5,WBGene00000218
asp-6,WBGene00000219
atf-2,WBGene00000220
atf-5,WBGene00000221
atf-6,WBGene00000222
atf-7,WBGene00000223
atgp-1,WBGene00000224
atgp-2,WBGene00000225
atl-1,WBGene00000226
atm-1,WBGene00000227
atn-1,WBGene00000228
atp-2,WBGene00000229
atp-3,WBGene00000230
atx-2,WBGene00000231
avr-14,WBGene00000232
avr-15,WBGene00000233
baf-1,WBGene00000235
bag-1,WBGene00000236
bam-2,WBGene00000237
bar-1,WBGene00000238
bas-1,WBGene00000239
pah-1,WBGene00000240
bbs-1,WBGene00000241
bbs-2,WBGene00000242
bbs-8,WBGene00000244
bca-1,WBGene00000245
bcc-1,WBGene00000246
bec-1,WBGene00000247
ben-1,WBGene00000248
bir-1,WBGene00000249
bir-2,WBGene00000250
bli-1,WBGene00000251
bli-2,WBGene00000252
bli-3,WBGene00000253
bli-4,WBGene00000254
bli-5,WBGene00000255
bli-6,WBGene00000256
bmk-1,WBGene00000257
bpl-1,WBGene00000259
bra-1,WBGene00000262
F23H11.5,WBGene00000263
brc-1,WBGene00000264
brd-1,WBGene00000265
bre-1,WBGene00000266
bre-2,WBGene00000267
bre-3,WBGene00000268
bre-4,WBGene00000269
bre-5,WBGene00000270
brf-1,WBGene00000271
bro-1,WBGene00000272
brp-1,WBGene00000273
btf-1,WBGene00000274
bub-1,WBGene00000275
byn-1,WBGene00000276
cab-1,WBGene00000277
cah-1,WBGene00000279
cah-2,WBGene00000280
cah-3,WBGene00000281
cah-4,WBGene00000282
cah-5,WBGene00000283
cah-6,WBGene00000284
cal-1,WBGene00000285
cal-2,WBGene00000286
cal-3,WBGene00000287
cal-4,WBGene00000288
cam-1,WBGene00000289
cap-1,WBGene00000292
cap-2,WBGene00000293
cas-1,WBGene00000294
cat-1,WBGene00000295
cat-2,WBGene00000296
cat-4,WBGene00000298
cav-1,WBGene00000301
cav-2,WBGene00000302
cbp-1,WBGene00000366
cca-1,WBGene00000367
ccb-1,WBGene00000368
ccf-1,WBGene00000369
ccg-1,WBGene00000370
cox-5B,WBGene00000371
cyp-13A7,WBGene00000372
cyp-14A5,WBGene00000373
cyp-31A1,WBGene00000374
cyp-44A1,WBGene00000375
ccr-4,WBGene00000376
cct-1,WBGene00000377
cct-2,WBGene00000378
cct-4,WBGene00000379
cct-5,WBGene00000380
cct-6,WBGene00000381
cdc-6,WBGene00000382
cdc-14,WBGene00000383
cdc-25.1,WBGene00000386
cdc-25.2,WBGene00000387
cdc-25.3,WBGene00000388
cdc-25.4,WBGene00000389
cdc-42,WBGene00000390
cdd-1,WBGene00000391
cdd-2,WBGene00000392
cdf-1,WBGene00000393
cdh-3,WBGene00000395
cdh-4,WBGene00000396
cdh-5,WBGene00000397
cdh-7,WBGene00000399
cdh-9,WBGene00000401
cdh-10,WBGene00000402
casy-1,WBGene00000403
cdk-1,WBGene00000405
cdk-4,WBGene00000406
cdk-5,WBGene00000407
cdk-7,WBGene00000408
cdk-8,WBGene00000409
cdk-9,WBGene00000410
cdl-1,WBGene00000411
cdr-1,WBGene00000412
cdt-1,WBGene00000413
cec-1,WBGene00000414
ced-1,WBGene00000415
ced-2,WBGene00000416
ced-3,WBGene00000417
ced-4,WBGene00000418
ced-5,WBGene00000419
ced-6,WBGene00000420
ced-7,WBGene00000421
ced-8,WBGene00000422
ced-9,WBGene00000423
ced-10,WBGene00000424
ced-11,WBGene00000425
ced-12,WBGene00000426
ced-13,WBGene00000427
ceh-1,WBGene00000428
ceh-2,WBGene00000429
ceh-5,WBGene00000430
ceh-6,WBGene00000431
ceh-7,WBGene00000432
ceh-8,WBGene00000433
ceh-9,WBGene00000434
ceh-10,WBGene00000435
ceh-12,WBGene00000436
ceh-13,WBGene00000437
ceh-14,WBGene00000438
ceh-16,WBGene00000439
ceh-17,WBGene00000440
ceh-18,WBGene00000441
ceh-19,WBGene00000442
ceh-20,WBGene00000443
ceh-21,WBGene00000444
ceh-22,WBGene00000445
ceh-23,WBGene00000446
ceh-24,WBGene00000447
pros-1,WBGene00000448
ceh-27,WBGene00000449
ceh-28,WBGene00000450
ceh-30,WBGene00000451
ceh-31,WBGene00000452
ceh-32,WBGene00000453
ceh-33,WBGene00000454
ceh-34,WBGene00000455
ceh-36,WBGene00000457
ceh-37,WBGene00000458
ceh-38,WBGene00000459
ceh-39,WBGene00000460
ceh-40,WBGene00000461
ceh-41,WBGene00000462
ceh-43,WBGene00000463
ceh-44,WBGene00000464
cpg-1,WBGene00000465
cel-1,WBGene00000466
cep-1,WBGene00000467
ces-1,WBGene00000468
ces-2,WBGene00000469
cey-1,WBGene00000472
cey-2,WBGene00000473
cey-3,WBGene00000474
cey-4,WBGene00000475
cfi-1,WBGene00000476
cft-1,WBGene00000477
cfz-2,WBGene00000478
cgh-1,WBGene00000479
cgp-1,WBGene00000480
cha-1,WBGene00000481
chd-3,WBGene00000482
che-1,WBGene00000483
che-2,WBGene00000484
che-3,WBGene00000485
che-6,WBGene00000487
che-7,WBGene00000488
che-11,WBGene00000490
che-12,WBGene00000491
che-13,WBGene00000492
che-14,WBGene00000493
chs-1,WBGene00000496
chs-2,WBGene00000497
chk-1,WBGene00000498
chk-2,WBGene00000499
chn-1,WBGene00000500
cho-1,WBGene00000501
chp-1,WBGene00000502
cht-1,WBGene00000503
cic-1,WBGene00000506
cit-1.1,WBGene00000507
cit-1.2,WBGene00000508
cka-1,WBGene00000509
cka-2,WBGene00000510
ckb-1,WBGene00000511
ckb-2,WBGene00000512
ckb-3,WBGene00000513
ckb-4,WBGene00000514
ckc-1,WBGene00000515
cki-1,WBGene00000516
cki-2,WBGene00000517
ckk-1,WBGene00000518
cku-70,WBGene00000519
cku-80,WBGene00000520
cky-1,WBGene00000521
clc-1,WBGene00000522
clc-2,WBGene00000523
clc-3,WBGene00000524
clc-4,WBGene00000525
clc-5,WBGene00000526
cle-1,WBGene00000527
clh-1,WBGene00000528
clh-2,WBGene00000529
clh-3,WBGene00000530
clh-4,WBGene00000531
clh-5,WBGene00000532
clh-6,WBGene00000533
cpi-2,WBGene00000534
cpi-1,WBGene00000535
clk-1,WBGene00000536
cln-3.1,WBGene00000539
cln-3.2,WBGene00000540
cln-3.3,WBGene00000541
clp-1,WBGene00000542
clp-2,WBGene00000543
clp-3,WBGene00000544
clp-4,WBGene00000545
clp-6,WBGene00000546
clp-7,WBGene00000547
clr-1,WBGene00000548
cls-2,WBGene00000549
clu-1,WBGene00000550
clx-1,WBGene00000551
cmd-1,WBGene00000552
cmk-1,WBGene00000553
cnb-1,WBGene00000554
cnc-1,WBGene00000555
cnc-2,WBGene00000556
cnc-3,WBGene00000557
cnc-4,WBGene00000558
cnc-5,WBGene00000559
cnc-6,WBGene00000560
cnd-1,WBGene00000561
cng-1,WBGene00000562
cng-3,WBGene00000563
cnk-1,WBGene00000564
cnt-1,WBGene00000565
cnt-2,WBGene00000566
cnx-1,WBGene00000567
cof-2,WBGene00000583
cog-1,WBGene00000584
cogc-2,WBGene00000585
coh-1,WBGene00000591
coh-3,WBGene00000592
col-2,WBGene00000593
col-3,WBGene00000594
col-7,WBGene00000596
col-8,WBGene00000597
col-9,WBGene00000598
col-10,WBGene00000599
col-12,WBGene00000601
col-13,WBGene00000602
col-14,WBGene00000603
col-17,WBGene00000606
col-19,WBGene00000608
col-20,WBGene00000609
col-33,WBGene00000610
col-34,WBGene00000611
col-35,WBGene00000612
col-36,WBGene00000613
col-37,WBGene00000614
col-38,WBGene00000615
col-39,WBGene00000616
col-40,WBGene00000617
col-41,WBGene00000618
col-43,WBGene00000620
col-44,WBGene00000621
col-45,WBGene00000622
col-46,WBGene00000623
col-47,WBGene00000624
col-48,WBGene00000625
col-49,WBGene00000626
col-50,WBGene00000627
col-51,WBGene00000628
col-52,WBGene00000629
col-53,WBGene00000630
col-54,WBGene00000631
col-55,WBGene00000632
col-56,WBGene00000633
col-58,WBGene00000634
col-60,WBGene00000636
col-61,WBGene00000637
col-62,WBGene00000638
col-63,WBGene00000639
col-64,WBGene00000640
col-65,WBGene00000641
col-66,WBGene00000642
col-68,WBGene00000644
col-69,WBGene00000645
H17B01.2,WBGene00000646
col-71,WBGene00000647
col-72,WBGene00000648
col-73,WBGene00000649
col-74,WBGene00000650
col-75,WBGene00000651
col-76,WBGene00000652
col-77,WBGene00000653
col-78,WBGene00000654
col-79,WBGene00000655
col-80,WBGene00000656
col-81,WBGene00000657
col-83,WBGene00000658
col-84,WBGene00000659
col-85,WBGene00000660
col-86,WBGene00000661
col-87,WBGene00000662
col-88,WBGene00000663
col-89,WBGene00000664
col-90,WBGene00000665
col-91,WBGene00000666
col-92,WBGene00000667
col-93,WBGene00000668
col-94,WBGene00000669
col-95,WBGene00000670
col-96,WBGene00000671
col-97,WBGene00000672
col-98,WBGene00000673
col-99,WBGene00000674
col-101,WBGene00000675
col-102,WBGene00000676
col-103,WBGene00000677
col-104,WBGene00000678
col-105,WBGene00000679
col-106,WBGene00000680
col-107,WBGene00000681
col-108,WBGene00000682
col-109,WBGene00000683
col-110,WBGene00000684
col-111,WBGene00000685
col-113,WBGene00000687
col-114,WBGene00000688
col-115,WBGene00000689
col-116,WBGene00000690
col-117,WBGene00000691
col-118,WBGene00000692
col-119,WBGene00000693
col-120,WBGene00000694
col-121,WBGene00000695
col-122,WBGene00000696
col-123,WBGene00000697
col-124,WBGene00000698
col-125,WBGene00000699
col-126,WBGene00000700
col-127,WBGene00000701
col-128,WBGene00000702
col-129,WBGene00000703
col-130,WBGene00000704
col-131,WBGene00000705
col-132,WBGene00000706
col-133,WBGene00000707
col-135,WBGene00000708
col-136,WBGene00000709
col-137,WBGene00000710
col-138,WBGene00000711
col-139,WBGene00000712
col-140,WBGene00000713
col-141,WBGene00000714
col-142,WBGene00000715
col-143,WBGene00000716
col-144,WBGene00000717
col-145,WBGene00000718
col-146,WBGene00000719
col-147,WBGene00000720
col-148,WBGene00000721
col-149,WBGene00000722
col-150,WBGene00000723
col-151,WBGene00000724
col-152,WBGene00000725
col-153,WBGene00000726
col-154,WBGene00000727
col-155,WBGene00000728
col-156,WBGene00000729
col-157,WBGene00000730
col-158,WBGene00000731
col-159,WBGene00000732
col-160,WBGene00000733
col-161,WBGene00000734
col-162,WBGene00000735
col-163,WBGene00000736
col-164,WBGene00000737
col-165,WBGene00000738
col-166,WBGene00000739
col-167,WBGene00000740
col-168,WBGene00000741
col-169,WBGene00000742
col-170,WBGene00000743
col-171,WBGene00000744
col-172,WBGene00000745
col-173,WBGene00000746
col-174,WBGene00000747
col-175,WBGene00000748
col-176,WBGene00000749
col-177,WBGene00000750
col-178,WBGene00000751
col-179,WBGene00000752
col-180,WBGene00000753
col-181,WBGene00000754
col-182,WBGene00000755
col-183,WBGene00000756
col-184,WBGene00000757
col-185,WBGene00000758
col-186,WBGene00000759
col-187,WBGene00000760
coq-1,WBGene00000761
coq-2,WBGene00000762
coq-3,WBGene00000763
coq-4,WBGene00000764
coq-5,WBGene00000765
coq-6,WBGene00000766
coq-8,WBGene00000767
cor-1,WBGene00000768
cpb-1,WBGene00000770
cpb-2,WBGene00000771
cpb-3,WBGene00000772
cpf-1,WBGene00000773
cpf-2,WBGene00000774
cpin-1,WBGene00000775
cpl-1,WBGene00000776
cpn-1,WBGene00000777
cpn-2,WBGene00000778
cpn-3,WBGene00000779
cpn-4,WBGene00000780
cpr-1,WBGene00000781
cpr-2,WBGene00000782
cpr-3,WBGene00000783
cpr-4,WBGene00000784
cpr-5,WBGene00000785
cpr-6,WBGene00000786
cps-6,WBGene00000787
cpz-1,WBGene00000788
cpz-2,WBGene00000789
crb-1,WBGene00000792
crh-1,WBGene00000793
crn-1,WBGene00000794
crn-2,WBGene00000795
crn-3,WBGene00000796
crn-4,WBGene00000797
crn-5,WBGene00000798
crn-6,WBGene00000799
cars-1,WBGene00000800
cars-2,WBGene00000801
crt-1,WBGene00000802
csb-1,WBGene00000803
csc-1,WBGene00000804
csk-1,WBGene00000812
csn-1,WBGene00000813
csn-2,WBGene00000814
csn-3,WBGene00000815
csn-4,WBGene00000816
csn-5,WBGene00000817
csn-6,WBGene00000818
csp-1,WBGene00000819
csp-2,WBGene00000820
csp-3,WBGene00000821
csq-1,WBGene00000822
ctl-1,WBGene00000830
ctl-2,WBGene00000831
ctn-1,WBGene00000832
cts-1,WBGene00000833
cua-1,WBGene00000834
cuc-1,WBGene00000835
cul-1,WBGene00000836
cul-2,WBGene00000837
cul-3,WBGene00000838
cul-4,WBGene00000839
cul-5,WBGene00000840
cul-6,WBGene00000841
cup-2,WBGene00000843
cup-4,WBGene00000845
cup-5,WBGene00000846
cut-1,WBGene00000851
cut-6,WBGene00000853
cux-7,WBGene00000854
cwn-1,WBGene00000857
cwn-2,WBGene00000858
cwp-1,WBGene00000859
cwp-2,WBGene00000860
cwp-3,WBGene00000861
cwp-4,WBGene00000862
cya-1,WBGene00000863
cya-2,WBGene00000864
cyb-1,WBGene00000865
cyb-2.1,WBGene00000866
cyb-2.2,WBGene00000867
cyb-3,WBGene00000868
cyc-1,WBGene00000869
cyd-1,WBGene00000870
cye-1,WBGene00000871
cyk-1,WBGene00000872
cyk-3,WBGene00000874
cyk-4,WBGene00000875
cyl-1,WBGene00000876
cyn-1,WBGene00000877
cyn-2,WBGene00000878
cyn-3,WBGene00000879
cyn-4,WBGene00000880
cyn-5,WBGene00000881
cyn-6,WBGene00000882
cyn-7,WBGene00000883
cyn-8,WBGene00000884
cyn-9,WBGene00000885
cyn-10,WBGene00000886
cyn-11,WBGene00000887
cyn-12,WBGene00000888
cyn-13,WBGene00000889
sig-7,WBGene00000890
cyn-15,WBGene00000891
cyn-16,WBGene00000892
cyn-17,WBGene00000893
dab-1,WBGene00000894
dac-1,WBGene00000895
dad-1,WBGene00000896
daf-1,WBGene00000897
daf-2,WBGene00000898
daf-3,WBGene00000899
daf-4,WBGene00000900
daf-5,WBGene00000901
daf-6,WBGene00000902
daf-7,WBGene00000903
daf-8,WBGene00000904
daf-9,WBGene00000905
daf-10,WBGene00000906
daf-11,WBGene00000907
daf-12,WBGene00000908
daf-14,WBGene00000910
daf-15,WBGene00000911
daf-16,WBGene00000912
daf-18,WBGene00000913
daf-19,WBGene00000914
hsp-90,WBGene00000915
daf-25,WBGene00000917
daf-28,WBGene00000920
daf-31,WBGene00000923
dao-2,WBGene00000928
dao-3,WBGene00000929
dao-4,WBGene00000930
dao-5,WBGene00000931
dao-6,WBGene00000932
dap-3,WBGene00000933
dat-1,WBGene00000934
daz-1,WBGene00000935
dbl-1,WBGene00000936
dbr-1,WBGene00000937
dcp-66,WBGene00000938
dcr-1,WBGene00000939
dcs-1,WBGene00000940
ddp-1,WBGene00000941
deb-1,WBGene00000942
deg-1,WBGene00000950
deg-3,WBGene00000951
del-1,WBGene00000952
del-2,WBGene00000953
des-2,WBGene00000955
dgk-1,WBGene00000958
dgk-2,WBGene00000959
dgk-3,WBGene00000960
dgn-1,WBGene00000961
dhc-1,WBGene00000962
dhp-1,WBGene00000963
dhp-2,WBGene00000964
dhs-1,WBGene00000965
dhs-2,WBGene00000966
dhs-3,WBGene00000967
dhs-4,WBGene00000968
dhs-5,WBGene00000969
dhs-6,WBGene00000970
dhs-7,WBGene00000971
dhs-8,WBGene00000972
dhs-9,WBGene00000973
dhs-11,WBGene00000974
dhs-12,WBGene00000975
dhs-13,WBGene00000976
dhs-14,WBGene00000977
dhs-15,WBGene00000978
dhs-16,WBGene00000979
dhs-17,WBGene00000980
dhs-18,WBGene00000981
dhs-19,WBGene00000982
dhs-20,WBGene00000983
dhs-21,WBGene00000984
dhs-22,WBGene00000985
dhs-23,WBGene00000986
dhs-24,WBGene00000987
dhs-25,WBGene00000988
dhs-26,WBGene00000989
dhs-27,WBGene00000990
dhs-28,WBGene00000991
dhs-29,WBGene00000992
dhs-30,WBGene00000993
dic-1,WBGene00000994
die-1,WBGene00000995
dif-1,WBGene00000996
dig-1,WBGene00000998
dim-1,WBGene00001000
dis-3,WBGene00001001
div-1,WBGene00001002
dlc-1,WBGene00001005
dlg-1,WBGene00001006
dli-1,WBGene00001007
dlk-1,WBGene00001008
dna-2,WBGene00001016
dnc-1,WBGene00001017
dnc-2,WBGene00001018
dnj-1,WBGene00001019
dnj-2,WBGene00001020
dnj-3,WBGene00001021
dnj-4,WBGene00001022
dnj-5,WBGene00001023
dnj-7,WBGene00001025
dnj-8,WBGene00001026
dnj-9,WBGene00001027
dnj-10,WBGene00001028
dnj-11,WBGene00001029
dnj-12,WBGene00001030
dnj-13,WBGene00001031
dnj-14,WBGene00001032
dnj-15,WBGene00001033
dnj-16,WBGene00001034
dnj-17,WBGene00001035
dnj-18,WBGene00001036
dnj-19,WBGene00001037
dnj-20,WBGene00001038
dnj-21,WBGene00001039
dnj-22,WBGene00001040
dnj-23,WBGene00001041
dnj-24,WBGene00001042
dnj-25,WBGene00001043
dnj-26,WBGene00001044
dnj-27,WBGene00001045
dnj-28,WBGene00001046
dnj-29,WBGene00001047
dnj-30,WBGene00001048
dog-1,WBGene00001049
dom-3,WBGene00001050
cks-1,WBGene00001051
dop-1,WBGene00001052
dop-2,WBGene00001053
dpf-1,WBGene00001054
dpf-2,WBGene00001055
dpf-3,WBGene00001056
dpf-4,WBGene00001057
dpf-5,WBGene00001058
dpf-6,WBGene00001059
dpf-7,WBGene00001060
dpl-1,WBGene00001061
dpr-1,WBGene00001062
dpy-1,WBGene00001063
dpy-2,WBGene00001064
dpy-3,WBGene00001065
dpy-4,WBGene00001066
dpy-5,WBGene00001067
dpy-6,WBGene00001068
dpy-7,WBGene00001069
dpy-8,WBGene00001070
dpy-9,WBGene00001071
dpy-10,WBGene00001072
dpy-11,WBGene00001073
dpy-13,WBGene00001074
dpy-14,WBGene00001075
dpy-17,WBGene00001076
dpy-18,WBGene00001077
dpy-19,WBGene00001078
dpy-20,WBGene00001079
dpy-21,WBGene00001080
dpy-22,WBGene00001081
dpy-23,WBGene00001082
dpy-26,WBGene00001085
dpy-27,WBGene00001086
dpy-28,WBGene00001087
dpy-30,WBGene00001088
dre-1,WBGene00001089
drh-1,WBGene00001090
dro-1,WBGene00001092
drp-1,WBGene00001093
dars-1,WBGene00001094
dars-2,WBGene00001095
dsc-1,WBGene00001096
dsc-4,WBGene00001099
dsh-1,WBGene00001101
dsh-2,WBGene00001102
dsl-1,WBGene00001103
dsl-2,WBGene00001104
dsl-3,WBGene00001105
dsl-4,WBGene00001106
dsl-5,WBGene00001107
dsl-6,WBGene00001108
dsl-7,WBGene00001109
duo-1,WBGene00001110
duo-3,WBGene00001112
dur-1,WBGene00001113
dyb-1,WBGene00001115
dyc-1,WBGene00001116
dyf-1,WBGene00001117
dyf-2,WBGene00001118
dyf-3,WBGene00001119
dyf-5,WBGene00001121
dyf-6,WBGene00001122
dyf-7,WBGene00001123
dyf-11,WBGene00001127
dyf-13,WBGene00001129
dyn-1,WBGene00001130
dys-1,WBGene00001131
alp-1,WBGene00001132
eat-2,WBGene00001133
eat-3,WBGene00001134
eat-4,WBGene00001135
eat-5,WBGene00001136
eat-6,WBGene00001137
eat-16,WBGene00001145
eat-18,WBGene00001147
eat-20,WBGene00001148
bcat-1,WBGene00001149
ech-1.1,WBGene00001150
ech-2,WBGene00001151
ech-3,WBGene00001152
ech-4,WBGene00001153
ech-5,WBGene00001154
ech-6,WBGene00001155
ech-7,WBGene00001156
ech-8,WBGene00001157
ech-9,WBGene00001158
eff-1,WBGene00001159
efk-1,WBGene00001160
efl-1,WBGene00001161
efl-2,WBGene00001162
efn-2,WBGene00001163
efn-3,WBGene00001164
efn-4,WBGene00001165
eftu-2,WBGene00001166
eef-2,WBGene00001167
eef-1A.1,WBGene00001168
eef-1A.2,WBGene00001169
egl-1,WBGene00001170
egl-2,WBGene00001171
egl-3,WBGene00001172
egl-4,WBGene00001173
egl-5,WBGene00001174
egl-6,WBGene00001175
egl-8,WBGene00001177
egl-9,WBGene00001178
egl-10,WBGene00001179
egl-13,WBGene00001182
egl-15,WBGene00001184
egl-17,WBGene00001185
egl-18,WBGene00001186
egl-19,WBGene00001187
egl-20,WBGene00001188
egl-21,WBGene00001189
egl-23,WBGene00001190
egl-26,WBGene00001193
egl-27,WBGene00001194
egl-30,WBGene00001196
egl-36,WBGene00001202
egl-38,WBGene00001204
egl-43,WBGene00001207
egl-44,WBGene00001208
egl-45,WBGene00001209
egl-46,WBGene00001210
egl-47,WBGene00001211
ego-1,WBGene00001214
ego-2,WBGene00001215
ehn-3,WBGene00001223
ehs-1,WBGene00001224
eif-3.B,WBGene00001225
eif-3.C,WBGene00001226
eif-3.D,WBGene00001227
eif-3.E,WBGene00001228
eif-3.F,WBGene00001229
eif-3.G,WBGene00001230
eif-3.H,WBGene00001231
eif-3.I,WBGene00001232
eif-3.K,WBGene00001233
eif-6,WBGene00001234
elb-1,WBGene00001235
elc-1,WBGene00001236
elc-2,WBGene00001237
elo-1,WBGene00001239
elo-2,WBGene00001240
elo-3,WBGene00001241
elo-4,WBGene00001242
elo-5,WBGene00001243
elo-6,WBGene00001244
elo-7,WBGene00001245
elo-8,WBGene00001246
elo-9,WBGene00001247
elp-1,WBGene00001248
elt-1,WBGene00001249
elt-2,WBGene00001250
elt-3,WBGene00001251
elt-4,WBGene00001252
elt-6,WBGene00001253
emb-4,WBGene00001258
emb-5,WBGene00001259
emb-8,WBGene00001262
emb-9,WBGene00001263
emb-27,WBGene00001281
emb-30,WBGene00001284
emo-1,WBGene00001303
emr-1,WBGene00001309
end-1,WBGene00001310
end-3,WBGene00001311
ent-1,WBGene00001320
eor-1,WBGene00001324
eor-2,WBGene00001325
epi-1,WBGene00001328
epn-1,WBGene00001329
eps-8,WBGene00001330
erd-2.1,WBGene00001331
eri-1,WBGene00001332
erm-1,WBGene00001333
ero-1,WBGene00001334
F35A5.8,WBGene00001335
qars-1,WBGene00001336
ears-1,WBGene00001337
ears-2,WBGene00001338
etr-1,WBGene00001340
fos-1,WBGene00001345
evl-14,WBGene00001352
evl-20,WBGene00001358
exc-4,WBGene00001365
exc-5,WBGene00001366
exc-7,WBGene00001368
exl-1,WBGene00001371
exo-3,WBGene00001372
exp-1,WBGene00001373
exp-2,WBGene00001374
eya-1,WBGene00001377
far-1,WBGene00001385
far-2,WBGene00001386
far-3,WBGene00001387
far-4,WBGene00001388
far-5,WBGene00001389
far-6,WBGene00001390
far-7,WBGene00001391
far-8,WBGene00001392
fat-1,WBGene00001393
fat-2,WBGene00001394
fat-3,WBGene00001395
fat-4,WBGene00001396
fat-5,WBGene00001397
fat-6,WBGene00001398
fat-7,WBGene00001399
fax-1,WBGene00001400
fbf-1,WBGene00001401
fbf-2,WBGene00001402
fbl-1,WBGene00001403
fbp-1,WBGene00001404
fce-1,WBGene00001405
fce-2,WBGene00001406
