WBID,mean,median,sd,logMean,logSd,logVar,n,min(count),max(count)
WBGene00000025,0.0375,0,0.106066017177982,-3.28341434600577,-2.24369357516585,-4.48738715033171,8,0,0.3
WBGene00000026,0.025,0,0.0462910049886276,-3.68887945411394,-3.07280761346762,-6.14561522693524,8,0,0.1
WBGene00000027,0.0625,0,0.106066017177982,-2.77258872223978,-2.24369357516585,-4.48738715033171,8,0,0.3
WBGene00000028,0,0,0,-Inf,-Inf,-Inf,8,0,0
WBGene00000029,0,0,0,-Inf,-Inf,-Inf,8,0,0
WBGene00000030,0.0125,0,0.0353553390593274,-4.38202663467388,-3.34230586383396,-6.68461172766793,8,0,0.1
WBGene00000031,10.725,0.15,29.2110913377583,2.37257746481408,3.37454847748735,6.74909695497469,8,0,83
WBGene00000032,0,0,0,-Inf,-Inf,-Inf,8,0,0
WBGene00000033,2.6375,0.15,7.0175163494135,0.969831498802185,1.94840935905717,3.89681871811434,8,0,20
WBGene00000034,8.3125,0.25,20.9535157295517,2.11776040598197,3.04230644754181,6.08461289508362,8,0,60
WBGene00000035,10.4875,2,15.2757920065891,2.35018407179332,2.72626935357204,5.45253870714407,8,0.1,40
WBGene00000036,11.3875,5.5,11.8297974261125,2.43251626258608,2.47062155410002,4.94124310820004,8,0.1,29
WBGene00000037,28.1,8.5,38.3062471592895,3.3357695763397,3.64561299409402,7.29122598818803,8,0.1,96
WBGene00000038,2.575,1.5,2.64993261369848,0.945849534115699,0.974534210881787,1.94906842176357,8,0,6
WBGene00000039,184.825,101.5,213.33210695332,5.21940943144316,5.36285013901277,10.7257002780255,8,0.6,524
WBGene00000040,106.875,116,46.4494733170202,4.67165992725692,3.83836512648771,7.67673025297542,8,16,156
WBGene00000041,119.375,119.5,83.7904486544516,4.78226979880089,4.42831902312156,8.85663804624312,8,10,265
WBGene00000042,1.55,0.3,2.57349123621145,0.438254930931155,0.945263434708119,1.89052686941624,8,0,7
WBGene00000043,1.1875,0.1,2.44449089061214,0.171850256926659,0.89383687654655,1.7876737530931,8,0,7
WBGene00000044,1.5125,0.7,1.55419938048042,0.413763910922859,0.440960545182977,0.881921090365953,8,0.1,4
WBGene00000045,0.1625,0.05,0.342000417710689,-1.81707727721234,-1.07294332054399,-2.14588664108799,8,0,1
WBGene00000046,4.3,3,4.10713664595804,1.45861502269952,1.41272610589842,2.82545221179685,8,0,10
WBGene00000047,14.3125,1.35,22.2034384402828,2.66113328131446,3.10024716158226,6.20049432316452,8,0.2,54
WBGene00000048,2.5125,0.35,4.04984567607211,0.921278273385194,1.39867877571889,2.79735755143779,8,0.1,10
WBGene00000049,0.9875,0.25,1.74964282069227,-0.0125787822068601,0.55941166464212,1.11882332928424,8,0,5
WBGene00000050,2.575,0.8,3.55919332754729,0.945849534115699,1.26953392580219,2.53906785160437,8,0.1,10
WBGene00000051,4.125,1,5.85924178419992,1.41706601978664,1.76802020685574,3.53604041371147,8,0.2,14
WBGene00000053,1.725,0.65,1.97755259998673,0.545227050483323,0.681860019540676,1.36372003908135,8,0.1,5
WBGene00000054,2.875,1.35,3.47264822783502,1.05605267424931,1.24491748093692,2.48983496187384,8,0,9
WBGene00000055,3.9625,3.5,3.3346396249927,1.3768751392034,1.20436461505589,2.40872923011179,8,0.8,11
WBGene00000056,0.8875,0.6,0.735696948478108,-0.119346757632566,-0.306936999832719,-0.613873999665437,8,0.1,2
WBGene00000057,0.325,0.25,0.305894472933769,-1.1239300966524,-1.1845150962011,-2.3690301924022,8,0,1
WBGene00000058,2.15,0.8,2.76818661633517,0.765467842139571,1.01819245467908,2.03638490935816,8,0,7
WBGene00000059,1.2125,0.85,1.55970464236937,0.192684343829501,0.44449647152141,0.88899294304282,8,0.3,5
WBGene00000060,0.625,0.4,0.982344135219425,-0.470003629245736,-0.0178135888215756,-0.0356271776431512,8,0,3
WBGene00000061,1.425,1.1,1.72440465917122,0.354171813720614,0.544881865795813,1.08976373159163,8,0,5
WBGene00000062,0.6375,0.25,1.00418766032194,-0.450201001949556,0.00417891647479808,0.00835783294959616,8,0,3
WBGene00000063,217.625,182,166.61327120868,5.38277339808835,5.11567538567585,10.2313507713517,8,26,477
WBGene00000064,813.5,546.5,805.53566915793,6.70134592665909,6.69150748364521,13.3830149672904,8,328,2775
WBGene00000065,286.125,259,228.064801254881,5.65642877827273,5.4296298046029,10.8592596092058,8,32,622
WBGene00000066,1652.5,1652,1447.46892392006,7.41004457172584,7.27757174042226,14.5551434808445,8,26,3219
WBGene00000067,185.625,74,238.912379336024,5.22372850955696,5.47609687105549,10.952193742111,8,7,615
WBGene00000068,17.9375,5.5,23.4912103622975,2.88689349351984,3.15662632404824,6.31325264809648,8,0.2,55
WBGene00000069,1.7375,0.75,2.10979856858421,0.55244729845681,0.746592477804925,1.49318495560985,8,0.1,5
WBGene00000070,14.975,8,16.5317659587319,2.70638214400151,2.80528373968573,5.61056747937146,8,0.5,39
WBGene00000071,2.8,2.25,2.6944387170615,1.02961941718116,0.991189914418352,1.9823798288367,8,0.2,6
WBGene00000072,4.6625,2.5,5.19805939063526,1.53955178496993,1.64828536182453,3.29657072364905,8,0.1,13
WBGene00000073,18,18,8.21149020754281,2.89037175789616,2.10553441826512,4.21106883653024,8,7,30
WBGene00000074,14.325,12,10.7618041503936,2.6620062626008,2.37600321264793,4.75200642529586,8,0.6,30
WBGene00000075,6.625,8,3.06768875307034,1.89085037187229,1.12092442890311,2.24184885780621,8,1,9
WBGene00000079,55.125,59.5,29.0685765536798,4.00960333376701,3.36965774721022,6.73931549442043,8,11,90
WBGene00000080,66,69,23.6159752225964,4.18965474202643,3.16192339923883,6.32384679847767,8,36,97
WBGene00000081,46.75,24,49.9707057041566,3.8448142557347,3.91143694781306,7.82287389562611,8,2,123
WBGene00000082,5.325,2,7.738355306985,1.67241271159549,2.04618917238428,4.09237834476856,8,0.2,23
WBGene00000083,3.2125,3,2.79818180763356,1.16704945022134,1.02896985184268,2.05793970368536,8,0.1,7
WBGene00000084,1.975,0.35,3.15719133770146,0.680568398353085,1.14968281518354,2.29936563036707,8,0,8
WBGene00000085,1.5875,0.45,2.44565942027912,0.46216045178471,0.894314788109564,1.78862957621913,8,0,6
WBGene00000086,17.875,10,19.5971390040194,2.88340308858007,2.97538358639925,5.9507671727985,8,0.4,45
WBGene00000088,1.3,0.3,2.38746727726266,0.262364264467491,0.870233087420252,1.7404661748405,8,0.1,7
WBGene00000089,10.4,4,15.4168738724814,2.34180580614733,2.73546261557718,5.47092523115435,8,0.2,44
WBGene00000090,15,17.5,7.83763812819726,2.70805020110221,2.05893752981615,4.1178750596323,8,1,24
WBGene00000092,30.5,32,14.8612631649245,3.41772668361337,2.69875804004603,5.39751608009205,8,7,45
WBGene00000093,24.125,21,13.1087484419484,3.18324864722505,2.57327982731063,5.14655965462125,8,11,50
WBGene00000094,29.25,30,11.6710875977471,3.37587957367787,2.45711463799258,4.91422927598516,8,10,42
WBGene00000095,53,51,35.0672822687229,3.97029191355212,3.55726856667313,7.11453713334625,8,9,98
WBGene00000096,9.0375,7,9.07649043250906,2.20138258748488,2.20568760165305,4.4113752033061,8,0.3,22
WBGene00000097,35,38.5,13.2880182334097,3.55534806148941,2.58686274448116,5.17372548896232,8,6,47
WBGene00000098,96.5,90,51.3892706978523,4.56954300834494,3.9394294093847,7.87885881876941,8,39,195
WBGene00000099,85,85.5,52.5574515581351,4.44265125649032,3.961906886664,7.92381377332801,8,24,151
WBGene00000100,139.75,118,134.853094672896,4.93985511203521,4.90418599832424,9.80837199664848,8,4,321
WBGene00000101,38.25,40.5,20.6864344783863,3.64414356027254,3.02947814623433,6.05895629246867,8,3,65
WBGene00000102,54.625,57.5,30.0330175449811,4.00049165341575,3.40229736129538,6.80459472259076,8,4,95
WBGene00000103,12.25,9.5,11.1579568022107,2.50552593699074,2.41215285795238,4.82430571590476,8,1,35
WBGene00000105,226.25,205.5,220.269802093446,5.42164058258004,5.39485316812309,10.7897063362462,8,7,535
WBGene00000106,108.125,111.5,54.9140562281514,4.68328796525204,4.00576934904421,8.01153869808843,8,33,183
WBGene00000107,57.5,43.5,38.7740708648005,4.0517849478033,3.65775174655244,7.31550349310487,8,11,122
WBGene00000108,0.0375,0,0.0744023809142845,-3.28341434600577,-2.59826733611905,-5.19653467223809,8,0,0.2
WBGene00000109,75.875,45,80.3446815734735,4.32908724937966,4.38632589924575,8.77265179849151,8,4,202
WBGene00000110,48.625,52,22.4368160460818,3.88413780193861,3.11070318315801,6.22140636631603,8,15,77
WBGene00000111,6.525,5.5,6.49653753933586,1.87564095320876,1.87126934871784,3.74253869743568,8,0.2,18
WBGene00000112,20,18,12.8507920823137,2.99573227355399,2.5534054500885,5.10681090017701,8,5,39
WBGene00000113,12.375,12,4.1726148019814,2.51567830845475,1.42854289013135,2.8570857802627,8,6,20
WBGene00000114,135,127,58.8606101613926,4.90527477843843,4.07517210906815,8.15034421813631,8,37,224
WBGene00000115,58.375,58,26.6347651441817,4.06688771598906,3.28221732276604,6.56443464553208,8,10,92
WBGene00000116,18.7375,12,18.8795382434453,2.93052686342872,2.93807870297363,5.87615740594727,8,0.9,54
WBGene00000117,11,11,6.52467842666814,2.39789527279837,1.87559166872505,3.75118333745009,8,3,22
WBGene00000118,18.625,17.5,10.2251440786217,2.92450476426562,2.32484979264833,4.64969958529667,8,1,35
WBGene00000120,215.625,211.5,133.117496435077,5.37354078778562,4.8912321700682,9.78246434013641,8,11,465
WBGene00000121,205.625,110,189.769738292038,5.32605412151964,5.2458114334852,10.4916228669704,8,70,632
WBGene00000122,171.375,159,81.3281492297892,5.14385413788248,4.39849219561567,8.79698439123135,8,70,330
WBGene00000123,75.5,71.5,38.2062074238505,4.32413265625498,3.64299800041772,7.28599600083543,8,11,148
WBGene00000133,0.1,0,0.207019667802706,-2.30258509299405,-1.57494147669062,-3.14988295338125,8,0,0.6
WBGene00000134,0.8,0.3,1.09935045757549,-0.22314355131421,0.0947195122814093,0.189439024562819,8,0,3
WBGene00000135,0.6,0.25,0.975412000863518,-0.510825623765991,-0.0248953322515078,-0.0497906645030156,8,0.1,3
WBGene00000136,4.075,0.6,6.60362454587306,1.40487074669283,1.88761867190886,3.77523734381773,8,0.1,17
WBGene00000137,24.625,22.5,14.5301410867204,3.20376218705815,2.67622518756398,5.35245037512796,8,5,45
WBGene00000138,6.025,2.5,6.34299388526991,1.79591747937672,1.84735087863898,3.69470175727797,8,0.2,17
WBGene00000139,7,5.5,6.59003576838331,1.94591014905531,1.88555877617545,3.77111755235091,8,0,19
WBGene00000140,7.25,6,6.644224129702,1.98100146886658,1.89374792533348,3.78749585066696,8,0.4,16
WBGene00000142,70.625,64.5,23.9041986748294,4.25738418946661,3.17405412027921,6.34810824055842,8,46,113
WBGene00000143,20.375,21.5,8.3996173382227,3.01430865912693,2.12818614983812,4.25637229967624,8,5,35
WBGene00000144,11,6.5,8.92828570971414,2.39789527279837,2.189224406663,4.378448813326,8,3,27
WBGene00000145,117.5,99.5,80.4185479671379,4.76643833358421,4.38724484568735,8.77448969137469,8,43,275
WBGene00000146,104,106,55.4900248435956,4.64439089914137,4.01620327205073,8.03240654410146,8,13,189
WBGene00000147,49.75,50,21.2988933314118,3.9070104636046,3.05865511509386,6.11731023018772,8,15,81
WBGene00000148,38.25,34,21.5456326366688,3.64414356027254,3.07017313413955,6.14034626827909,8,11,72
WBGene00000149,409.75,400.5,377.998393798553,6.01554721762394,5.93488994640038,11.8697798928008,8,3,883
WBGene00000150,72.375,44,71.7036311094893,4.28186093589316,4.27254138941237,8.54508277882474,8,2,178
WBGene00000151,19.75,18,8.74642784226795,2.98315349134713,2.16864537041624,4.33729074083249,8,8,34
WBGene00000155,35,23,30.7478222225343,3.55534806148941,3.42581916971312,6.85163833942624,8,7,84
WBGene00000156,60,52,39.0932950042039,4.0943445622221,3.66595096901794,7.33190193803588,8,8,117
WBGene00000157,151.75,140.5,72.9828747035906,5.02223442993961,4.29022482052563,8.58044964105125,8,23,265
WBGene00000158,66.25,68,47.9575705330094,4.19343546486633,3.87031667276719,7.74063334553438,8,12,128
WBGene00000159,125.25,147.5,69.3927744283016,4.83031173996497,4.23978274722646,8.47956549445292,8,15,187
WBGene00000160,96.875,105,71.7205638970741,4.57342148767351,4.27277751118614,8.54555502237228,8,11,186
WBGene00000161,87.625,97.5,60.6981701301024,4.47306634535475,4.10591355148424,8.21182710296847,8,11,158
WBGene00000162,24.25,25.5,14.6458185158768,3.18841661738349,2.68415486918404,5.36830973836807,8,1,46
WBGene00000163,54.5,58.5,31.6453562379786,3.9982007016692,3.45459141548666,6.90918283097332,8,6,87
WBGene00000164,64.75,61,33.0832283793465,4.17053370057965,3.49902645848146,6.99805291696292,8,7,112
WBGene00000165,171.25,66,254.462318288134,5.14312447714233,5.53915276329214,11.0783055265843,8,45,791
WBGene00000166,2.2125,0.25,3.62587427880701,0.794123097899948,1.28809543958789,2.57619087917577,8,0,9
WBGene00000168,16.625,8.5,17.3117425053467,2.81090758654192,2.85138502878652,5.70277005757303,8,2,46
WBGene00000169,3.075,0.55,5.21173127253726,1.12330490125848,1.65091209855832,3.30182419711665,8,0,15
WBGene00000170,1934.5,1322,1939.3084923682,7.56760417414057,7.57008674128207,15.1401734825641,8,1,4854
WBGene00000171,0,0,0,-Inf,-Inf,-Inf,8,0,0
WBGene00000172,37.425,4,58.7417045815225,3.62233893030569,4.07314994444242,8.14629988888484,8,0,144
WBGene00000173,1.025,0.05,2.12518906721933,0.0246926125903714,0.753860771227632,1.50772154245526,8,0,6
WBGene00000174,1.9875,1.5,1.61283911162893,0.68687756754635,0.477996049362854,0.955992098725707,8,0,5
WBGene00000175,39.875,11.5,52.2697331158291,3.68574956110501,3.95641748683518,7.91283497367035,8,1,141
WBGene00000176,4.675,0.75,7.90637175230929,1.54222916274065,2.06766898531079,4.13533797062159,8,0.2,21
WBGene00000177,1.4875,0.85,1.90820596372614,0.397096858437648,0.646163514645754,1.29232702929151,8,0,6
WBGene00000178,171.625,197.5,104.28934680562,5.14531186408813,4.64716921686315,9.29433843372629,8,6,288
WBGene00000179,65.125,59,39.0180818888591,4.17630850007353,3.66402517685855,7.3280503537171,8,4,120
WBGene00000180,19.75,20,13.2098448136229,2.98315349134713,2.58096237082124,5.16192474164248,8,4,36
WBGene00000181,175.125,105.5,154.628991460205,5.16550000465717,5.0410286441884,10.0820572883768,8,53,509
WBGene00000182,704.25,776.5,382.950108649006,6.55713340675648,5.94790471607147,11.8958094321429,8,98,1271
WBGene00000183,965.75,1002.5,389.873514287464,6.87290500154639,5.96582236417999,11.93164472836,8,185,1475
WBGene00000184,59.25,58.5,30.6209545433002,4.08176578001524,3.42168456359407,6.84336912718815,8,7,103
WBGene00000185,0.125,0.1,0.148804761828569,-2.07944154167984,-1.9051201555591,-3.8102403111182,8,0,0.4
WBGene00000186,31.1,18.5,31.2751841378615,3.43720781918519,3.44282494403705,6.8856498880741,8,0.8,84
WBGene00000187,70.75,77.5,30.8625987240219,4.25915253652335,3.42954505350043,6.85909010700086,8,8,105
WBGene00000188,13.1375,3.5,16.9962128134476,2.57547073620307,2.83299054355847,5.66598108711695,8,0,41
WBGene00000189,43.625,46.5,16.9616163313355,3.77563038052259,2.83095292837792,5.66190585675584,8,16,66
WBGene00000190,0.2375,0.1,0.302076149339864,-1.43758765550744,-1.19707614325977,-2.39415228651954,8,0,0.9
WBGene00000191,0.975,0.2,1.75560327441676,-0.0253178079842899,0.562812543957089,1.12562508791418,8,0,5
WBGene00000192,146.875,155,42.8800236540446,4.98958188489842,3.7584060683959,7.5168121367918,8,67,208
WBGene00000193,12.625,10,9.7385463861033,2.53567897516142,2.27609186484362,4.55218372968725,8,0,28
WBGene00000195,49.5,53,18.0633804777986,3.90197266957464,2.89388671086029,5.78777342172059,8,9,67
WBGene00000196,7.375,8,4.65794252556089,1.99809590222588,1.53857383251975,3.0771476650395,8,2,13
WBGene00000197,67.75,66.5,36.9391391345278,4.21582445975981,3.6092716700742,7.21854334014839,8,13,139
WBGene00000198,152.25,167,62.6116146231215,5.02552390659001,4.13695079800674,8.27390159601348,8,52,226
WBGene00000199,57,61.5,31.8029648213586,4.04305126783455,3.45955951881623,6.91911903763245,8,15,99
WBGene00000200,92.5,93.5,30.5286750449475,4.52720864451838,3.4186664073428,6.83733281468559,8,45,124
WBGene00000201,97.75,101,36.3976058867299,4.58241319886548,3.59450300013701,7.18900600027403,8,36,157
WBGene00000202,37,39.5,23.4946802489415,3.61091791264422,3.15677402313855,6.31354804627709,8,10,61
WBGene00000203,97,114,39.1553681778483,4.57471097850338,3.6675375312451,7.3350750624902,8,35,141
WBGene00000204,172.5,183.5,96.5179479978428,5.15039723647141,4.56972898066597,9.13945796133194,8,14,333
WBGene00000205,79.75,85.5,26.5047165613971,4.37889674166495,3.27732270060395,6.5546454012079,8,31,116
WBGene00000206,109,62,99.8584712766738,4.69134788222914,4.60375389628989,9.20750779257978,8,43,334
WBGene00000207,255,267.5,116.1034021896,5.54126354515843,4.75448119223315,9.5089623844663,8,25,382
WBGene00000208,30.25,32,14.0280331581343,3.40949618447685,2.64105769598588,5.28211539197176,8,13,54
WBGene00000209,330.75,201.5,245.5138925368,5.80136280299507,5.5033535343781,11.0067070687562,8,119,749
WBGene00000210,205.25,209.5,84.2220704023425,5.32422874833254,4.43345700569382,8.86691401138764,8,40,302
WBGene00000211,10.775,7.5,12.5654571857022,2.37722863598981,2.5309515559844,5.06190311196881,8,0.2,38
WBGene00000212,0.7,0.1,1.37113092008021,-0.356674943938732,0.315635888420929,0.631271776841858,8,0,4
WBGene00000213,0.1625,0.1,0.302076149339864,-1.81707727721234,-1.19707614325977,-2.39415228651954,8,0,0.9
WBGene00000214,109.5375,15.5,216.706575399614,4.69626695638197,5.37854425141198,10.757088502824,8,0.5,623
WBGene00000215,27.3,4.5,46.5246171397466,3.30688670219091,3.83998157336488,7.67996314672976,8,0.1,124
WBGene00000216,52.5625,9.5,90.5851128970507,3.96200293773317,4.50628988273785,9.01257976547571,8,0.1,240
WBGene00000217,237.375,173.5,200.831085741227,5.46964116913245,5.30246418530409,10.6049283706082,8,4,507
WBGene00000218,37.45,3.5,74.7749385059689,3.62300670996323,4.3144827821281,8.62896556425619,8,0.3,213
WBGene00000219,39.0625,4,87.3474660275189,3.66516292749662,4.46989402674336,8.93978805348672,8,0.1,253
WBGene00000220,206.675,111,245.180608356953,5.33114751113874,5.5019951159304,11.0039902318608,8,0.4,653
WBGene00000221,127.5,85,123.623853454166,4.84811636459848,4.81724351551496,9.63448703102993,8,2,338
WBGene00000222,31.25,27.5,25.860891598816,3.44201937618241,3.25273185066182,6.50546370132363,8,2,64
WBGene00000223,118,114,67.092686422803,4.77068462446567,4.206075042848,8.41215008569601,8,39,219
WBGene00000224,136.375,66.5,151.309462927566,4.91540844415324,5.01932716297312,10.0386543259462,8,3,374
WBGene00000225,35.25,16.5,42.4962183191466,3.56246552925828,3.74941509124539,7.49883018249078,8,1,115
WBGene00000226,8.975,9,4.82900462976437,2.19444293437434,1.57464036563279,3.14928073126558,8,0.8,17
WBGene00000227,9.9375,10.5,4.52325341193387,2.29631547998045,1.50923151632704,3.01846303265408,8,0.5,15
WBGene00000228,35.625,16.5,39.5074586086512,3.57304763858881,3.67648947961725,7.3529789592345,8,3,110
WBGene00000229,896.5,808,495.028714895842,6.79849829304519,6.20461577077677,12.4092315415535,8,357,1950
WBGene00000230,407,354,170.282957791688,6.00881318544259,5.13746151097404,10.2749230219481,8,135,641
WBGene00000231,91.25,107.5,41.9276587878285,4.5136029924626,3.73594572341649,7.47189144683297,8,14,134
WBGene00000232,7.3375,2.5,9.80917027217753,1.99299818515421,2.28331769020178,4.56663538040356,8,0.3,26
WBGene00000233,2.375,0.35,4.22027419556055,0.864997437486605,1.43990010118844,2.87980020237687,8,0.1,12
WBGene00000235,507.25,497.5,344.190458073101,6.22900397870592,5.84119516135105,11.6823903227021,8,144,957
WBGene00000236,69.25,65.5,28.9074879078563,4.23772314506745,3.36410065871617,6.72820131743234,8,35,119
WBGene00000237,33.5,24,33.6154726279432,3.51154543883102,3.51498645585319,7.02997291170639,8,1,79
WBGene00000238,11.9375,6,13.1960965548799,2.47968470580685,2.57992107032047,5.15984214064093,8,0.1,30
WBGene00000239,5.625,3,7.00341753309462,1.72722094809048,1.9463982489287,3.89279649785741,8,0.4,20
WBGene00000240,31.65,21,33.8257298516972,3.45473814859019,3.52122175111001,7.04244350222003,8,0.2,93
WBGene00000241,6.3,2.5,7.86111587862327,1.84054963339749,2.06192856565492,4.12385713130984,8,0,21
WBGene00000242,7.4125,2.85,8.74323207646104,2.00316776432384,2.16827992410599,4.33655984821197,8,0,20
WBGene00000244,6.025,0.95,8.90790178918214,1.79591747937672,2.18693872432111,4.37387744864223,8,0,22
WBGene00000245,6.5875,6.5,3.40857636809605,1.88517391386748,1.22629471676145,2.4525894335229,8,0.7,12
WBGene00000246,0.4375,0.15,0.65886807697531,-0.826678573184468,-0.417231951203559,-0.834463902407117,8,0,2
WBGene00000247,37,39,16.6132477258361,3.61091791264422,2.81020043285857,5.62040086571715,8,6,59
WBGene00000248,80.5,64,67.8148740532425,4.38825718442452,4.21678155220205,8.4335631044041,8,12,175
WBGene00000249,258.75,228,155.609171598959,5.55586234457958,5.04734755344523,10.0946951068905,8,44,486
WBGene00000250,12.5,10,9.9713876380658,2.52572864430826,2.29971975563955,4.59943951127911,8,3,32
WBGene00000251,0.6375,0.5,0.715017482303755,-0.450201001949556,-0.335448285812563,-0.670896571625126,8,0,2
WBGene00000252,0.4875,0.4,0.322656385117578,-0.718464988544235,-1.13116734518637,-2.26233469037275,8,0,1
WBGene00000253,16.575,12,17.3308766574079,2.80789553607193,2.8524896885651,5.70497937713019,8,0.6,48
WBGene00000254,36.5,36,23.4155015809125,3.59731226058845,3.15339826375617,6.30679652751233,8,3,71
WBGene00000255,0.5875,0.3,0.987692115127844,-0.531879032963823,-0.0123842541637614,-0.0247685083275229,8,0,3
WBGene00000256,0.125,0.1,0.166904592079256,-2.07944154167984,-1.79033293473685,-3.5806658694737,8,0,0.5
WBGene00000257,38.375,34,25.3204462835867,3.64740620590736,3.23161222285472,6.46322444570943,8,11,73
WBGene00000259,5.75,5.5,3.57571171736681,1.74919985480926,1.27416423811275,2.5483284762255,8,1,10
WBGene00000262,74.375,67.5,49.8194956102241,4.30911986386579,3.90840638553999,7.81681277107999,8,7,154
WBGene00000263,684.625,440.5,489.018240238249,6.52887124310389,6.19239978987992,12.3847995797598,8,152,1498
WBGene00000264,14.25,12,8.2245277762834,2.65675690671466,2.10712088178541,4.21424176357082,8,6,25
WBGene00000265,19.625,19,10.418904521521,2.97680426366847,2.34362189850679,4.68724379701357,8,7,35
WBGene00000266,65.4625,28.5,79.1244758502161,4.18147745960561,4.37102225611654,8.74204451223307,8,0.7,226
WBGene00000267,6.4875,4.5,6.33390818193182,1.86987724849201,1.84591745194757,3.69183490389514,8,0.2,15
WBGene00000268,24.25,19.5,16.7651850145302,3.18841661738349,2.81930441561812,5.63860883123624,8,1,50
WBGene00000269,9.75,10,4.26781978465419,2.27726728500976,1.45110310777158,2.90220621554317,8,3,17
WBGene00000270,17.25,15.5,5.99404466354493,2.84781214347737,1.79076642024224,3.58153284048448,8,11,27
WBGene00000271,25,24.5,11.6619037896906,3.2188758248682,2.45632744286803,4.91265488573605,8,4,44
WBGene00000272,31.25,18.5,35.6801265212363,3.44201937618241,3.5745938537043,7.14918770740859,8,0,89
WBGene00000273,70.25,12,117.340469209415,4.25206030821386,4.7650797022064,9.5301594044128,8,1,305
WBGene00000274,8.35,9.5,3.75803900230654,2.12226153886276,1.32389727941175,2.6477945588235,8,0.8,13
WBGene00000275,78.125,64.5,58.6744955544692,4.35831010805657,4.07200514441797,8.14401028883594,8,24,207
WBGene00000276,116.75,120,44.2000323206087,4.76003489654901,3.78872552031888,7.57745104063775,8,18,162
WBGene00000277,53.5,42.5,51.9697714335665,3.97968165390196,3.95066223096501,7.90132446193002,8,2,142
WBGene00000279,16.875,10.5,15.6610298876816,2.82583323675859,2.75117545389711,5.50235090779423,8,2,45
WBGene00000280,7.0375,1,10.6348399813336,1.95125299346581,2.36413540211997,4.72827080423994,8,0.1,26
WBGene00000281,2.5,0.35,5.14503921962006,0.916290731874155,1.638032992118,3.276065984236,8,0,15
WBGene00000282,17.1125,9.5,16.9541766872608,2.83980919061457,2.83051421569973,5.66102843139946,8,0.9,39
WBGene00000283,19.925,1.45,31.611243478954,2.99197522467628,3.45351286360483,6.90702572720966,8,0,83
WBGene00000284,10.7875,3.5,16.772122916997,2.37838805640955,2.81971815798408,5.63943631596817,8,0.3,49
WBGene00000285,6.5875,2,9.28138497977846,1.88517391386748,2.22801077917301,4.45602155834603,8,0.2,25
WBGene00000286,9.1,1.95,13.4036242433583,2.2082744135228,2.59552513630981,5.19105027261963,8,0.3,31
WBGene00000287,2.2625,0.55,3.140945035222,0.816470396591944,1.14452372127,2.28904744254,8,0,8
WBGene00000288,1.4625,0.15,3.11674624293624,0.380147300123874,1.13678958679945,2.27357917359889,8,0,9
WBGene00000289,150.625,164.5,96.1812834480508,5.01479330424492,4.56623477999058,9.13246955998116,8,27,273
