WBID,PHI_Emb
WBGene00016067,0.648088336
WBGene00012939,0.68496722
WBGene00022475,0.48834902
WBGene00011095,0.431242287
WBGene00000120,1.525913119
WBGene00001570,0.495734364
WBGene00001377,1.340087056
WBGene00021415,1.699317932
WBGene00001065,1.864656091
WBGene00009059,0.525572181
WBGene00002039,0.691744626
WBGene00006666,0.409442544
WBGene00017309,0.525468469
WBGene00020710,2.001366138
WBGene00010742,0.853420198
WBGene00002282,0.898613155
WBGene00019615,0.568122983
WBGene00044294,1.226438761
WBGene00010835,0.883606434
WBGene00012435,0.707582772
WBGene00011498,0.27139613
WBGene00002002,1.100760818
WBGene00008760,1.06900239
WBGene00018367,0.719860137
WBGene00023409,1.056435585
WBGene00003776,1.318085194
WBGene00000039,1.232854843
WBGene00017169,0.90144676
WBGene00012256,1.322112322
WBGene00016892,0.566833735
WBGene00022615,1.457508564
WBGene00018987,0.663527429
WBGene00015298,1.222839117
WBGene00006956,1.190182805
WBGene00012198,1.368869781
WBGene00019730,1.485174179
WBGene00013693,0.794204712
WBGene00015336,0.224826753
WBGene00003847,0.288040727
WBGene00007983,0.308056444
WBGene00018164,2.193138599
WBGene00019751,0.576749384
WBGene00018877,0.59338671
WBGene00016970,0.735102475
WBGene00001682,2.410189629
WBGene00016423,0.601026237
WBGene00010558,0.285250843
WBGene00010585,0.290540636
WBGene00019477,0.738482475
WBGene00004257,0.574317336
WBGene00017688,0.823729992
WBGene00001045,0.902627528
WBGene00003245,1.030001879
WBGene00009304,0.488318115
WBGene00016395,1.302003145
WBGene00016979,0.449069738
WBGene00016620,0.537888646
WBGene00017993,1.508794427
WBGene00015188,0.460774571
WBGene00007592,0.611683369
WBGene00013962,0.47021988
WBGene00004229,0.480004877
WBGene00003078,1.446510434
WBGene00045063,0.401428163
WBGene00022441,1.183036566
WBGene00010110,0.362181336
WBGene00006896,0.574406862
WBGene00018718,0.913466692
WBGene00016104,0.574393392
WBGene00019759,0.959463656
WBGene00018656,1.824783564
WBGene00019760,2.532615185
WBGene00008865,2.173738003
WBGene00020134,0.780953765
WBGene00015218,0.734279633
WBGene00002253,1.927710891
WBGene00008496,1.191039443
WBGene00017999,1.219577193
WBGene00010573,2.322183132
WBGene00011272,1.078560352
WBGene00019855,1.281791687
WBGene00016355,0.428386629
WBGene00009190,0.213165238
WBGene00002137,0.823051751
WBGene00006646,0.417486727
WBGene00019357,1.577221751
WBGene00008260,0.950334966
WBGene00012540,0.955084562
WBGene00010039,0.640373409
WBGene00019407,0.602010131
WBGene00017814,0.95444268
WBGene00015752,1.375488043
WBGene00003681,1.072273612
WBGene00022146,1.00572896
WBGene00016611,0.300224155
WBGene00017240,0.347262055
WBGene00016046,0.454488218
WBGene00010370,0.612988293
WBGene00008712,0.430770129
WBGene00015494,0.689706028
WBGene00008334,1.158840537
WBGene00004048,0.635490775
WBGene00010899,0.522189915
WBGene00007925,1.214847565
WBGene00006947,0.965868175
WBGene00017799,0.829004109
WBGene00012261,1.794543982
WBGene00000425,0.308911026
WBGene00001978,0.376710534
WBGene00021915,0.972459853
WBGene00012186,1.650274277
WBGene00016735,0.628980339
WBGene00011283,0.182085767
WBGene00044068,0.458564609
WBGene00004077,0.641964793
WBGene00011205,1.261434436
WBGene00000401,0.912541091
WBGene00014090,1.49388504
WBGene00003142,0.440297008
WBGene00000992,0.75923723
WBGene00013345,0.525813878
WBGene00003633,1.123995662
WBGene00003111,1.086939573
WBGene00013263,1.852953672
WBGene00001006,1.332824707
WBGene00006826,1.149926901
WBGene00019272,1.936636925
WBGene00018998,0.344312221
WBGene00011892,1.263689399
WBGene00006366,1.772937655
WBGene00001428,1.373408079
WBGene00007560,0.884513855
WBGene00011831,2.063404799
WBGene00012257,1.962871313
WBGene00000002,0.859369218
WBGene00002139,0.240424931
WBGene00000449,0.661901832
WBGene00008720,1.063191295
WBGene00019644,0.757876992
WBGene00000248,1.606462002
WBGene00003011,0.288524568
WBGene00019994,1.124354482
WBGene00003933,1.013370514
WBGene00003089,0.272899628
WBGene00018418,0.786313176
WBGene00018640,1.234626651
WBGene00003622,0.523818851
WBGene00017795,0.280145884
WBGene00017937,2.330640316
WBGene00016808,1.102278829
WBGene00002181,1.444935799
WBGene00010288,0.229574829
WBGene00021002,1.135160208
WBGene00005077,0.936399877
WBGene00020083,0.650450647
WBGene00001430,2.475532532
WBGene00007812,1.70122242
WBGene00015356,0.654472649
WBGene00016749,1.288174272
WBGene00003239,0.782791138
WBGene00001470,0.573397875
WBGene00004369,0.430998206
WBGene00022242,0.406252682
WBGene00001885,3.080451488
WBGene00022396,0.817324102
