WBID,Phi_WholeGenome
WBGene00004952,1.979635596
WBGene00021329,0.974684477
WBGene00021329,0.975966692
WBGene00021329,0.951448321
WBGene00021329,0.952821553
WBGene00021329,0.975522459
WBGene00021329,0.990666866
WBGene00021332,1.179207802
WBGene00021332,1.277502418
WBGene00021332,1.458411336
WBGene00021331,2.047359705
WBGene00021333,1.10702467
WBGene00021333,1.243691683
WBGene00021333,1.196020365
WBGene00021334,1.584611177
WBGene00021328,1.966677904
WBGene00001745,1.982578874
WBGene00001745,1.865291595
NA,1.278204679
WBGene00019909,1.212551951
WBGene00044895,0.957961798
WBGene00044895,1.021532059
WBGene00019911,1.172795177
WBGene00022838,0.855753779
WBGene00022838,0.773992062
WBGene00236809,0.632137597
WBGene00022837,1.332271218
WBGene00022837,1.514777899
WBGene00021689,1.0859375
WBGene00021689,1.114352822
WBGene00021689,1.101172686
WBGene00021689,0.929719508
WBGene00021689,1.395908833
WBGene00000165,1.43949616
NA,2.94713521
WBGene00021687,1.140388608
WBGene00001816,1.055558443
WBGene00001816,1.066644073
WBGene00001816,0.917543173
WBGene00004880,1.28058362
WBGene00021686,1.311341405
WBGene00021686,1.292920589
WBGene00021686,1.225384235
WBGene00021686,1.045473933
WBGene00021685,1.165248752
WBGene00195068,2.295630932
WBGene00021690,2.215944529
WBGene00021691,2.068094015
WBGene00021691,2.024291277
NA,1.162917376
WBGene00021685,1.176088929
WBGene00021685,1.293349504
WBGene00021685,1.386656165
WBGene00021692,1.045575738
WBGene00001707,1.025159478
WBGene00001707,1.030756712
WBGene00001707,1.260115027
NA,0.830123365
WBGene00021693,1.237775683
WBGene00021694,1.02834177
WBGene00003400,1.307412028
WBGene00003400,1.363311052
WBGene00003400,1.363779902
WBGene00003400,1.43978107
WBGene00044896,1.380213022
WBGene00019674,0.824352622
WBGene00019674,0.855189919
WBGene00019674,0.903415918
WBGene00045052,1.130664587
WBGene00045053,0.976599932
WBGene00045053,0.743094981
NA,2.686522007
WBGene00019673,1.889257789
WBGene00019673,1.882026315
WBGene00022363,1.11593771
WBGene00022363,1.350389481
NA,0.628718138
WBGene00022366,0.864991724
WBGene00022365,0.519511104
WBGene00022367,0.726057231
WBGene00022372,1.060879827
WBGene00022371,1.207110882
WBGene00022368,1.492987394
WBGene00022369,1.370757937
NA,1.393640876
NA,0.998467863
WBGene00022373,0.790178537
WBGene00018159,1.615807533
WBGene00004969,1.683810949
WBGene00001773,1.491155744
WBGene00004969,1.674020171
WBGene00004969,1.583027244
WBGene00018580,1.24753511
WBGene00018579,1.033083081
WBGene00001115,0.765747488
WBGene00001115,0.761675954
WBGene00001115,0.861071467
WBGene00022361,1.18634367
WBGene00022361,1.185261846
WBGene00022360,0.821168542
WBGene00022360,0.790312707
WBGene00022360,0.782223701
WBGene00022358,1.420187354
WBGene00022358,1.534629822
NA,0.956235349
NA,0.95009315
NA,0.938485265
WBGene00005077,1.162375808
WBGene00022270,0.717090726
WBGene00022270,0.604832768
WBGene00022270,0.688907921
WBGene00022270,0.549943328
WBGene00022271,1.721116543
NA,0.742566466
WBGene00022269,1.187789798
WBGene00022273,1.895580292
WBGene00044440,1.049409151
WBGene00044440,0.852823913
WBGene00044440,0.826251149
WBGene00044440,0.776920736
NA,1.166031718
WBGene00000269,1.098104954
WBGene00022268,1.639669895
WBGene00022268,1.522446632
WBGene00022274,1.031963825
WBGene00003111,1.28678143
WBGene00003111,1.27669692
WBGene00003111,1.282019377
NA,1.23772788
WBGene00022156,1.08198154
WBGene00022156,1.134056926
WBGene00004168,1.08453846
WBGene00044358,0.849457026
WBGene00044358,0.982872486
WBGene00022157,1.405208349
WBGene00022155,1.357146978
WBGene00022158,1.064194679
WBGene00022158,1.250660896
WBGene00185098,0.840167761
WBGene00022154,0.920891106
WBGene00044348,1.12831533
WBGene00044348,1.51737988
WBGene00006702,1.882369161
WBGene00006702,1.491750836
WBGene00003080,1.92939496
WBGene00022153,1.099419236
WBGene00022152,1.071026564
WBGene00022152,1.073663116
WBGene00022152,0.908226848
WBGene00006771,1.698908925
WBGene00006771,1.629044294
WBGene00006771,1.708059788
WBGene00006771,1.617289424
WBGene00006771,1.712248087
WBGene00006771,1.728124619
WBGene00006771,1.755003929
WBGene00022159,0.954718649
WBGene00022159,0.988395214
WBGene00022150,1.117463231
WBGene00022149,0.892767072
WBGene00022149,0.852895796
WBGene00022149,0.988638461
WBGene00022148,1.285130024
WBGene00022160,1.766226172
WBGene00022160,1.976930022
WBGene00022161,1.732611895
WBGene00022161,1.521664619
WBGene00022146,1.14179635
WBGene00022146,1.019162297
WBGene00022162,1.360127449
WBGene00022145,1.249622822
WBGene00022144,1.686074853
WBGene00022143,1.421259761
WBGene00044349,1.119254112
WBGene00022142,0.87090373
WBGene00044347,1.381783843
WBGene00044347,1.391026616
WBGene00044347,1.316256166
WBGene00022141,1.415826917
WBGene00022141,1.421876431
NA,0.99346453
WBGene00044746,1.503917813
WBGene00016907,1.385360003
WBGene00004441,2.912757397
NA,0.939225614
WBGene00001196,1.491533399
WBGene00001196,1.536043406
WBGene00001196,1.782317042
WBGene00001309,1.777035952
WBGene00003750,2.062097549
WBGene00006461,1.109899759
WBGene00006461,1.190555096
WBGene00044897,0.6713413
NA,0.995914936
WBGene00004743,1.300522447
WBGene00004743,1.40914011
WBGene00004743,1.540094376
NA,0.933502078
WBGene00022139,1.453842759
WBGene00022139,1.442148089
WBGene00022140,1.624662876
WBGene00022138,0.855651438
WBGene00022138,0.74138552
WBGene00021768,1.990623474
WBGene00022138,1.118326902
WBGene00021766,0.56427902
WBGene00021765,0.911742687
WBGene00021765,0.840851367
WBGene00021765,0.882406354
WBGene00021765,0.912887037
WBGene00021765,0.73587805
WBGene00255420,0.612253249
NA,0.703965068
WBGene00021771,0.704976141
WBGene00021771,0.702518761
WBGene00021771,0.703231454
WBGene00021771,0.77795887
WBGene00044438,0.649808943
WBGene00021764,1.188402653
WBGene00021764,1.276741266
WBGene00021763,1.738528848
WBGene00021763,1.657603741
WBGene00021763,1.66650176
WBGene00021238,0.688443959
WBGene00021238,0.519694269
WBGene00021237,0.527623415
WBGene00021239,1.100734115
WBGene00021239,1.312025547
WBGene00044435,0.790034413
WBGene00021346,1.19943583
WBGene00021347,1.935571432
WBGene00021348,1.790505052
NA,1.142429829
WBGene00021349,1.142786622
WBGene00021349,0.922726929
WBGene00021349,0.926820219
WBGene00004409,3.213140488
WBGene00021350,2.462776899
WBGene00021350,2.609389544
WBGene00004014,1.795196295
WBGene00021351,1.824668169
WBGene00021352,1.230344296
WBGene00021352,1.255644679
WBGene00021352,1.232156038
WBGene00021352,1.419551015
WBGene00021352,1.436384916
WBGene00021352,1.505697489
WBGene00021352,1.56680572
WBGene00021352,0.92191124
WBGene00021352,1.44118762
WBGene00021353,0.907582104
WBGene00021353,0.885407507
WBGene00003799,1.154656649
WBGene00003799,1.091186166
WBGene00044810,0.990397871
WBGene00021354,1.441753268
WBGene00021355,1.15810287
WBGene00021355,1.156617403
WBGene00235158,1.329298854
WBGene00021009,1.207468152
WBGene00021009,1.209298968
NA,1.209175348
WBGene00021009,1.212431431
NA,1.414193749
WBGene00021009,1.365661144
WBGene00021009,1.381469607
WBGene00021009,1.358069181
WBGene00021009,1.373931885
WBGene00021009,1.391878009
WBGene00021009,1.410331011
WBGene00021009,1.359171629
WBGene00021009,1.396141648
WBGene00021009,1.41675508
WBGene00021009,1.250767469
WBGene00021008,0.852166593
WBGene00021005,1.572902203
WBGene00021005,1.627834916
NA,1.033676982
WBGene00001542,1.031288266
WBGene00021006,1.479514956
WBGene00021007,1.116340637
WBGene00017399,0.975391686
WBGene00017399,1.012464643
WBGene00017398,1.009348273
WBGene00017398,1.056857109
WBGene00017398,0.800753057
WBGene00000020,1.287675261
WBGene00000020,1.299657941
WBGene00021458,1.624843359
WBGene00021458,1.451979518
WBGene00000408,0.920408428
WBGene00021469,1.837875247
WBGene00021470,1.388654113
WBGene00021468,1.217159867
WBGene00021470,1.368548512
NA,1.245483398
WBGene00002047,1.231571078
WBGene00021467,1.420883298
WBGene00021467,1.462717533
WBGene00021476,1.2439394
WBGene00021476,1.325219154
WBGene00021476,1.161701202
WBGene00021475,2.100114346
WBGene00021466,1.93717134
WBGene00021465,1.416813493
WBGene00021465,1.40816021
WBGene00003156,1.844302893
WBGene00003156,1.610001087
WBGene00219275,1.011923552
WBGene00219275,0.919743955
WBGene00021471,1.336093545
NA,0.662400782
WBGene00021472,1.652520537
WBGene00021464,0.739305258
WBGene00021463,0.756931126
NA,1.813720703
WBGene00077563,0.722153008
WBGene00021461,0.939212978
WBGene00021461,0.949723363
WBGene00021473,1.092543721
WBGene00021474,1.282204628
WBGene00021474,1.352801561
WBGene00021474,1.338646531
WBGene00021460,1.741842985
NA,1.740484357
NA,1.769816637
NA,1.764351964
WBGene00017741,1.026307702
WBGene00017741,1.096620321
WBGene00017741,1.083837271
WBGene00017734,2.438647747
WBGene00017734,2.200816631
WBGene00017735,1.429327965
WBGene00017736,1.761033058
WBGene00017737,1.061940789
WBGene00017738,0.950481236
WBGene00017733,1.740194559
WBGene00255457,0.831496656
WBGene00255457,0.826494634
WBGene00017732,0.73190999
WBGene00017732,0.810296655
NA,0.458554983
NA,0.520923257
NA,0.998333275
NA,1.062359571
WBGene00002141,0.99022752
NA,0.968258977
WBGene00022280,1.582484365
WBGene00022281,0.718344569
WBGene00022281,0.783891916
WBGene00022281,0.458463043
WBGene00022282,1.538690448
WBGene00001232,2.000292063
WBGene00001232,1.790415049
WBGene00021277,1.356656313
WBGene00021277,1.207167506
WBGene00021277,1.213901281
WBGene00021276,0.881876945
NA,0.670676529
NA,0.999460936
WBGene00021275,1.235607982
WBGene00021274,0.791762173
WBGene00021279,0.989700794
NA,1.702937484
WBGene00021280,2.48380518
WBGene00021272,1.044167519
WBGene00194701,0.529305816
WBGene00194701,0.549728394
WBGene00016950,0.873031139
WBGene00016949,0.630964279
WBGene00006047,2.088271379
WBGene00016948,1.446724892
WBGene00000006,1.449407339
WBGene00001404,1.841682434
WBGene00004226,1.332907438
WBGene00019461,1.384070873
WBGene00000832,1.168234468
WBGene00000832,1.191703558
WBGene00000832,1.146079063
WBGene00000832,1.186534524
WBGene00021271,1.56535542
WBGene00021271,1.807265401
WBGene00021270,2.013456106
WBGene00021269,1.421585798
WBGene00021269,1.499064088
WBGene00000800,1.480901003
WBGene00000800,1.476623893
WBGene00000800,1.627671242
NA,0.989881158
NA,1.293309808
WBGene00023172,1.155090809
NA,1.055397868
WBGene00018231,0.881389737
WBGene00018230,1.252078056
WBGene00018232,1.363149881
WBGene00018233,0.819847047
WBGene00017979,1.670126557
WBGene00017979,1.671626568
WBGene00017979,1.664709568
WBGene00017979,1.667960763
WBGene00017979,1.655377746
WBGene00017979,1.732582569
WBGene00017979,1.736863494
WBGene00017979,1.730490446
WBGene00017979,1.732870102
WBGene00017980,0.985156834
WBGene00017980,0.936409473
NA,1.864576936
WBGene00000788,2.199333191
WBGene00017978,1.298795104
WBGene00017977,1.035678744
WBGene00017976,0.920172632
WBGene00017975,1.983724356
WBGene00003006,1.383781433
WBGene00003006,1.40098989
WBGene00003006,1.380996466
WBGene00001048,1.096085072
WBGene00001048,0.950627029
WBGene00022128,1.128708959
WBGene00022128,1.187287688
WBGene00022128,1.145063162
WBGene00022128,1.113965631
WBGene00022128,1.41144526
WBGene00004920,3.058405876
WBGene00022127,2.575401306
WBGene00022126,1.298647523
WBGene00022126,0.721143544
WBGene00022129,1.642274022
WBGene00022129,1.864069581
WBGene00004043,1.356186271
WBGene00022130,0.924027026
WBGene00022130,0.945931137
WBGene00004946,0.917957544
NA,1.087730289
WBGene00004946,1.079319
WBGene00004946,1.164762974
WBGene00004946,1.153978348
WBGene00004946,1.666187644
WBGene00022125,1.785906434
WBGene00022131,1.718671441
WBGene00022131,1.40663147
WBGene00022133,0.779425263
WBGene00020990,1.397625566
NA,1.153138995
WBGene00255550,0.687559128
WBGene00020984,0.900181532
WBGene00020989,1.026521921
WBGene00020988,1.496627688
WBGene00020985,1.526071548
WBGene00020985,1.553568006
WBGene00002174,1.202789307
WBGene00002174,1.237981558
WBGene00002174,1.222138882
WBGene00002174,1.233672142
WBGene00002174,1.215511322
WBGene00020987,1.267315507
WBGene00044796,0.827594519
WBGene00020986,1.240572214
WBGene00004077,0.950195909
WBGene00021126,1.054879546
WBGene00021125,0.79213655
WBGene00021125,0.771369874
WBGene00021127,1.102581978
WBGene00021127,1.184825897
WBGene00021127,1.28723681
WBGene00021127,1.028583884
WBGene00021128,2.128688335
WBGene00044433,1.209514976
WBGene00022116,1.217450738
WBGene00022115,0.783350706
WBGene00022117,0.776827514
WBGene00004412,3.231769085
WBGene00004412,3.233288765
WBGene00022114,1.532210112
WBGene00022113,0.933191478
WBGene00022118,0.851110935
WBGene00000199,1.431592345
WBGene00022112,1.208399177
WBGene00022111,0.623822093
WBGene00022119,1.48316586
WBGene00001791,0.853188097
WBGene00022110,1.52417767
WBGene00004049,0.988013089
WBGene00004049,0.997824788
WBGene00004049,1.10891664
WBGene00004049,1.244186997
WBGene00022108,1.34896946
WBGene00022107,0.846339941
WBGene00022122,2.764556408
WBGene00003836,1.297190785
WBGene00003836,1.305061102
WBGene00022121,1.114853144
WBGene00022121,1.056492329
WBGene00045398,0.91709286
NA,0.663573563
WBGene00000237,0.900725365
WBGene00044894,1.633826613
WBGene00022123,0.885219991
WBGene00022124,0.629457533
WBGene00001046,0.972646415
WBGene00021839,1.885155678
WBGene00021838,0.988306344
WBGene00003186,0.972912014
WBGene00000625,1.916211128
WBGene00021837,1.105136871
WBGene00021843,1.1740973
WBGene00021842,1.049158692
WBGene00021844,1.70287168
WBGene00021845,2.022874117
WBGene00021841,0.904202163
WBGene00003387,0.967244267
WBGene00021846,0.643151641
WBGene00021840,0.913058281
WBGene00021840,0.905462027
WBGene00000205,1.676279068
WBGene00019697,1.073603034
WBGene00019697,1.058703423
WBGene00019697,1.09516561
WBGene00019698,0.816227317
NA,0.719379783
WBGene00003654,0.728133857
NA,0.720509112
WBGene00195056,0.865259767
WBGene00016663,1.063024402
WBGene00219460,1.066962838
WBGene00000626,1.424183249
WBGene00045387,1.052436829
WBGene00019597,0.899733126
WBGene00003062,1.452772856
WBGene00019595,1.092240095
WBGene00019598,1.154851913
WBGene00019594,0.686537087
WBGene00006888,1.680201173
WBGene00006888,1.679088712
WBGene00006888,1.631986856
WBGene00021829,1.312849045
WBGene00021828,1.018076777
WBGene00021827,0.920506358
WBGene00021830,1.692996144
WBGene00021831,0.826409459
WBGene00021832,1.134858131
WBGene00021833,1.35935533
NA,0.976445973
WBGene00021835,1.161697507
WBGene00001481,1.498215675
WBGene00001481,1.426556826
WBGene00001481,1.361774445
WBGene00001481,1.726595879
WBGene00004404,0.96602726
WBGene00000413,0.999472976
WBGene00021826,1.205180764
WBGene00003258,1.055525661
WBGene00021834,1.223288059
WBGene00021553,0.96336633
WBGene00021552,0.955983818
WBGene00021552,0.924500167
WBGene00021552,1.032026172
WBGene00020915,2.215450764
WBGene00004154,0.870575011
NA,0.82267189
WBGene00004154,0.869915128
WBGene00004154,0.822104514
WBGene00020914,1.081589818
NA,1.253986955
WBGene00020917,1.122906923
WBGene00020913,1.117626905
WBGene00000036,0.791116595
NA,1.387240887
WBGene00021548,1.824489474
WBGene00021549,1.03036952
WBGene00021547,0.983426571
WBGene00021547,0.820403397
WBGene00021547,0.812340796
WBGene00021551,1.217618108
WBGene00021551,1.211398482
WBGene00021039,1.010819674
WBGene00195045,1.21059978
WBGene00195045,1.258910298
WBGene00021034,1.690750003
WBGene00021035,2.338615179
WBGene00021038,1.305685043
WBGene00021038,1.521147013
NA,0.712876618
WBGene00021036,1.100110888
NA,1.200102687
WBGene00021036,1.176944971
WBGene00021036,1.197045207
WBGene00021036,1.078621984
WBGene00019362,1.341534138
NA,1.329662442
WBGene00019361,1.342699766
WBGene00019361,1.312313318
WBGene00019361,1.479116797
WBGene00019361,1.672529459
WBGene00019360,0.750575304
WBGene00004775,1.333102584
WBGene00006440,0.984952509
WBGene00021639,1.494061232
WBGene00003422,0.980543673
WBGene00021640,1.464102387
WBGene00004978,1.20419383
WBGene00021641,1.02635181
WBGene00021638,1.096936822
WBGene00000794,1.568625927
WBGene00021643,0.899803877
WBGene00021637,0.740881801
WBGene00021637,0.73603332
WBGene00021644,1.36708498
WBGene00021636,0.745807111
WBGene00021645,1.051441789
WBGene00021645,1.04621172
WBGene00021653,0.816579998
WBGene00021645,1.091237068
WBGene00021635,0.859964848
WBGene00021635,0.902240217
WBGene00004389,0.833794832
WBGene00004389,0.922780752
WBGene00004389,1.15860796
WBGene00021634,0.932837963
WBGene00021646,1.103244424
NA,1.006674767
WBGene00021647,1.345852733
WBGene00045399,1.34337306
WBGene00003060,0.788455546
WBGene00003060,0.789239049
WBGene00003060,0.788264275
WBGene00003060,0.789157927
WBGene00021633,1.038356781
WBGene00044436,1.339781642
WBGene00021648,1.526400805
WBGene00021648,1.57150054
WBGene00021649,0.877829194
WBGene00002144,1.442355037
WBGene00002143,0.798070192
WBGene00021650,1.238987327
WBGene00044437,0.882361889
WBGene00000284,1.452791929
NA,1.209505558
WBGene00020902,1.074209094
WBGene00020901,1.201512933
WBGene00020901,1.223138809
WBGene00020900,0.555105448
WBGene00000368,0.878060639
WBGene00000627,1.679201603
WBGene00000628,1.676439881
WBGene00020903,0.615424991
WBGene00004890,0.793874145
WBGene00001501,2.346996784
NA,1.642436385
WBGene00017025,0.948190987
WBGene00017026,0.991238952
WBGene00003418,1.353999496
WBGene00002042,0.754040241
WBGene00017651,0.889317214
NA,0.898616493
WBGene00017650,1.150152326
WBGene00003040,0.946178615
WBGene00001601,1.206024408
WBGene00020467,1.452158213
WBGene00004147,0.869379759
WBGene00004147,0.925961733
WBGene00020466,1.101919055
WBGene00021175,1.080940485
WBGene00021175,1.057004809
WBGene00002135,1.941824198
WBGene00002134,1.342566609
WBGene00022815,0.706122637
WBGene00194702,0.840840816
WBGene00016324,0.725209236
WBGene00016324,0.629848897
NA,0.723097563
WBGene00004368,0.753003836
WBGene00016323,1.086599112
WBGene00016322,1.502569675
WBGene00016321,1.525459886
NA,2.816831827
WBGene00004217,1.128979445
WBGene00016325,0.987228096
WBGene00016320,1.326246023
WBGene00006751,1.253829002
NA,1.146031976
NA,1.102071524
NA,1.099147916
NA,1.083014607
NA,0.994168341
NA,0.789498806
WBGene00016326,0.812120974
WBGene00003797,1.120646834
NA,1.60517323
NA,1.645783186
NA,1.615316629
NA,1.701952934
WBGene00018765,1.696527481
WBGene00044423,0.906112313
NA,1.516065121
NA,1.482122779
NA,1.9424752
NA,1.732829452
WBGene00018764,1.272411823
WBGene00018763,0.902403414
WBGene00020187,2.113290548
WBGene00020188,1.722533345
WBGene00020188,1.718970895
WBGene00020192,1.955216169
WBGene00020189,0.756112516
WBGene00020190,1.5802356
WBGene00020190,1.457780123
WBGene00001832,1.134749293
WBGene00020185,1.929127932
WBGene00000764,0.808413506
WBGene00020191,0.85582149
WBGene00020184,1.482423902
WBGene00020193,0.751569331
WBGene00016837,1.0767138
WBGene00016836,1.024250627
WBGene00000013,1.335892439
WBGene00000012,1.023026705
WBGene00016838,1.077833056
WBGene00016835,0.545122325
WBGene00016839,1.467256308
WBGene00001430,2.235821962
WBGene00001430,2.562267065
WBGene00016840,0.891189337
WBGene00016841,0.799468696
WBGene00003950,1.836644769
WBGene00020625,0.838926971
WBGene00077599,0.730337977
WBGene00020626,1.102002501
WBGene00020627,1.340224504
WBGene00020628,0.957955658
WBGene00020629,1.16261816
WBGene00020653,0.845018446
WBGene00020652,1.63288343
WBGene00003072,0.896035373
WBGene00018528,1.392579556
WBGene00018529,1.421617866
WBGene00018527,1.247732282
WBGene00018525,1.556425571
WBGene00018531,1.357911825
WBGene00018526,1.444831014
NA,1.5559237
WBGene00017909,1.099995255
WBGene00017909,1.17405653
WBGene00017910,0.977139473
WBGene00000197,1.74458766
WBGene00000779,2.95666337
WBGene00017908,1.625976801
WBGene00006805,0.99478066
WBGene00006805,1.065966725
WBGene00006805,1.06610024
WBGene00006805,1.245785952
WBGene00006805,1.237866402
WBGene00006805,1.248855829
WBGene00006805,1.272914886
WBGene00006805,1.049507141
WBGene00018868,1.569262266
WBGene00006805,0.956411839
NA,1.399682641
NA,1.402493119
NA,1.391305089
NA,1.399479747
NA,1.403075814
NA,1.45158422
NA,1.462154746
NA,1.45156157
NA,1.463263392
NA,1.405361176
NA,1.409302592
NA,1.397715211
NA,1.40569663
NA,1.410882473
WBGene00015631,0.574473917
NA,1.143992424
NA,1.146581292
WBGene00016066,0.853928208
WBGene00016064,0.727528393
WBGene00016063,0.636021495
WBGene00000867,1.592036366
WBGene00019254,0.837484181
NA,1.09763062
WBGene00019253,0.66834563
NA,0.917240739
WBGene00002696,0.942347646
NA,1.219996929
WBGene00017085,1.187882185
WBGene00017087,0.883061051
WBGene00017088,1.171581984
NA,1.48136735
WBGene00017084,1.548100114
WBGene00017089,0.771279871
