Gene ID, elongating embryo, L1 larva, L2 larva, dauer larva, L3 larva, adult
bmk-1,25,10,7,31,8,10
bpl-1,6,15,7,11,8,8
bra-1,59,10,7,7,5,9
F23H11.5,240,140,719,240,518,555
brc-1,8,5,3,11,4,7
brd-1,17,5,3,15,3,6
bre-1,68,7,34,13,41,4
bre-2,0.8,3,8,10,3,8
bre-3,23,72,27,41,31,34
bre-4,7,9,9,9,12,14
bre-5,14,4,5,10,9,6
brf-1,30,13,10,17,11,23
bro-1,23,0.8,0.2,1,55,27
brp-1,13,2091,241,1867,206,460
btf-1,8,2,6,7,9,17
bub-1,43,3,17,12,19,75
byn-1,100,255,91,352,68,56
cab-1,60,1927,206,468,72,45
cah-1,9,9,6,9,4,2
cah-2,3,5,5,8,2,0.3
cah-3,0.7,72,60,71,97,27
cah-4,24,154,103,84,142,78
cah-5,13,19,32,11,29,16
cah-6,2,18,43,4,2,29
cal-1,0.7,17,28,3,13,21
cal-2,5,108,20,70,12,3
cal-3,0.1,3,5,4,1,2
cal-4,6,18,26,0.1,2,21
cam-1,164,47,30,17,15,43
cap-1,193,64,67,46,58,49
cap-2,160,146,84,114,78,108
cas-1,41,64,27,29,30,25
cat-1,7,6,2,2,0.4,2
cat-2,0.2,3,0.9,4,0.9,0.4
cat-4,18,42,23,14,57,23
cav-1,2296,12,26,0.7,0.6,176
cav-2,7,8,5,0.6,13,45
C04A11.t1,,3,0.7,,,
cbp-1,154,79,54,46,28,66
cca-1,0.4,8,9,8,1,9
ccb-1,30,52,32,21,15,4
ccf-1,101,48,46,38,48,118
ccg-1,10,380,101,312,88,62
cox-5B,255,71,375,177,333,270
cyp-13A7,,0.2,0.3,0.6,0.3,0.3
cyp-14A5,0.1,6,35,3,3,28
cyp-31A1,25,21,21,33,19,5
cyp-44A1,7,5,5,12,5,8
ccr-4,109,69,50,42,33,107
cct-1,78,63,212,138,175,234
cct-2,54,64,178,137,142,175
cct-4,67,197,213,457,190,177
cct-5,130,290,353,429,314,301
cct-6,49,60,200,132,169,201
cdc-6,24,6,11,21,13,29
cdc-14,89,106,19,28,13,35
cdc-25.1,21,8,8,20,16,89
cdc-25.2,147,8,9,4,5,24
cdc-25.3,3,0.6,0.5,38,5,11
cdc-25.4,0.4,0.1,0.4,0.1,0.3,3
cdc-42,263,203,80,94,115,102
cdd-1,41,45,27,7,22,6
cdd-2,23,17,30,23,26,48
cdf-1,24,29,16,14,14,14
cdh-3,0.4,6,0.7,38,0.5,0.8
cdh-4,81,8,17,3,4,10
cdh-5,0.3,20,2,42,2,1
cdh-7,1,0.2,0.4,0.3,0.1,0.2
cdh-9,0.9,8,1,28,2,0.5
cdh-10,0.2,40,2,0.3,1,0.2
casy-1,40,584,87,170,33,18
cdk-1,328,36,21,101,21,26
cdk-4,59,5,3,27,2,0.6
cdk-5,37,42,21,31,20,41
cdk-7,38,14,13,26,16,28
cdk-8,37,11,13,17,16,42
cdk-9,27,13,17,22,16,24
cdl-1,180,35,34,28,27,159
cdr-1,5,1,0.8,0.4,1,1
cdt-1,22,6,5,29,2,7
cec-1,327,130,45,39,30,12
ced-1,29,71,21,27,19,42
ced-2,20,15,9,16,9,47
ced-3,31,5,5,28,6,9
ced-4,40,12,9,9,8,17
ced-5,20,7,13,8,12,18
ced-6,31,26,11,13,14,28
ced-7,34,15,30,46,24,31
ced-8,22,0.6,0.4,5,0.5,12
ced-9,29,10,7,11,6,44
ced-10,47,43,22,14,23,23
ced-11,31,8,3,6,1,23
ced-12,29,16,13,20,13,25
ced-13,,0.1,0.4,,,
ceh-1,3,0.4,0.7,0.4,0.3,0.8
ceh-2,1,2,0.2,16,0.4,0.5
ceh-5,32,0.3,0.1,52,0.8,0.5
ceh-6,9,10,5,25,1,6
ceh-7,,0.2,,,,
ceh-8,12,2,0.1,9,0.2,25
ceh-9,0.2,0.8,2,5,0.1,0.3
ceh-10,17,9,2,3,0.7,0.7
ceh-12,,0.2,0.2,,0.9,
ceh-13,46,15,36,95,3,28
ceh-14,0.3,7,7,12,3,6
ceh-16,14,8,0.6,29,0.7,27
ceh-17,6,0.4,0.5,0.3,16,9
ceh-18,0.9,33,22,22,12,3
ceh-19,0.4,2,1,8,4,0.3
ceh-20,318,117,57,35,23,8
ceh-21,6,7,3,3,1,12
ceh-22,19,5,2,0.3,0.2,34
ceh-23,0.4,3,1,0.1,0.2,1
ceh-24,18,5,2,0.3,0.2,9
pros-1,6,12,11,85,1,12
ceh-27,51,9,11,98,2,11
ceh-28,,0.7,0.1,,0.4,
ceh-30,12,0.9,1,15,0.7,24
ceh-31,13,6,2,4,0.1,18
ceh-32,133,57,17,15,7,16
ceh-33,0.2,3,0.7,0.8,4,6
ceh-34,13,8,12,96,2,11
ceh-36,65,0.5,0.1,12,2,69
ceh-37,20,10,10,62,3,11
ceh-38,75,77,24,33,23,54
ceh-39,9,13,3,3,2,28
ceh-40,43,0.8,0.6,9,0.2,0.5
ceh-41,12,3,4,4,4,7
ceh-43,177,21,16,11,3,17
ceh-44,44,19,13,12,11,15
cpg-1,8,4,3,7,12,1825
cel-1,44,17,13,23,16,20
cep-1,15,4,11,5,4,15
ces-1,4,39,14,3,7,0.1
ces-2,278,2,0.5,797,0.2,1
cey-1,1329,1033,363,329,350,258
cey-2,17,3,10,35,62,1211
cey-3,29,10,33,14,69,32
cey-4,192,211,264,171,261,578
cfi-1,29,10,3,0.7,0.7,28
cft-1,0.3,4,1,0.2,0.6,2
cfz-2,20,10,9,88,0.7,7
cgh-1,81,199,46,65,115,864
cgp-1,33,43,22,25,19,65
cha-1,5,4,7,0.3,0.9,5
chd-3,81,24,22,16,20,17
che-1,0.4,0.3,8,0.1,1,4
che-2,0.1,0.5,0.3,9,2,0.2
che-3,0.3,2,2,4,0.3,3
che-6,0.2,0.1,5,1,0.2,0.5
che-7,0.2,6,7,2,0.6,5
che-11,0.1,0.9,0.4,10,3,0.1
che-12,11,5,1,1,0.3,6
che-13,1,3,4,18,1,3
che-14,1,11,2,21,4,0.6
chs-1,0.3,2,3,2,6,3
chs-2,0.1,14,2,6,2,2
chk-1,9,2,8,8,11,51
chk-2,0.2,2,2,0.6,2,4
chn-1,54,13,13,26,18,29
cho-1,0.1,18,8,13,3,1
chp-1,25,12,31,28,35,25
cht-1,112,65,7,2,2,90
cic-1,24,10,10,13,9,13
cit-1.1,26,28,10,15,14,17
cit-1.2,61,78,29,43,26,34
cka-1,18,39,12,23,16,19
cka-2,0.4,13,27,9,3,16
ckb-1,4,5,7,8,2,5
ckb-2,7,6,13,8,11,3
ckb-3,0.5,0.1,2,0.5,0.3,32
ckb-4,20,3,9,4,15,4
ckc-1,5,17,12,10,12,8
cki-1,429,18,19,9,14,4
cki-2,28,20,6,17,11,27
ckk-1,6,42,12,9,4,1
cku-70,9,9,9,9,9,20
cku-80,6,7,9,6,3,13
cky-1,2,0.3,0.1,2,0.1,0.1
clc-1,9,25,26,0.1,15,2
clc-2,7,12,12,66,1,4
clc-3,21,12,7,1,4,6
clc-4,4,0.3,0.1,0.2,0.2,0.1
clc-5,95,14,13,7,12,2
cle-1,18,30,13,6,9,11
clh-1,5,43,11,61,23,26
clh-2,0.1,6,18,3,0.8,17
clh-3,0.1,3,12,0.8,2,19
clh-4,0.1,0.9,0.4,0.9,0.1,0.7
clh-5,47,26,24,18,27,31
clh-6,11,6,7,7,8,13
cpi-2,193,53,98,172,55,174
cpi-1,3,36,21,125,49,132
clk-1,41,28,29,44,28,20
cln-3.1,6,3,2,1,2,4
cln-3.2,12,8,6,10,7,8
cln-3.3,15,9,18,0.6,1,2
clp-1,17,131,76,143,82,62
clp-2,19,8,10,12,13,11
clp-3,0.9,0.5,1,0.7,0.7,0.4
clp-4,9,37,15,40,14,13
clp-6,0.4,1,2,0.6,0.4,0.2
clp-7,15,12,15,22,26,28
clr-1,87,49,26,27,18,32
cls-2,36,27,35,26,37,55
clu-1,65,30,81,35,70,61
cmd-1,323,1685,312,262,356,172
cmk-1,0.2,13,14,13,2,13
cnb-1,96,155,54,50,41,16
cnc-1,,2,11,,,
cnc-2,68,3,3,0.2,2,6
cnc-3,1,44,15,63,2,1
cnc-4,8,25,1,11,39,1
cnc-6,11,9,64,8,0.3,0.1
cnd-1,35,0.4,0.2,21,6,24
cng-1,3,0.3,0.3,1,0.4,3
cng-3,0.1,0.5,0.1,0.1,0.1,0.1
cnk-1,25,34,9,11,7,18
cnt-1,18,15,21,15,17,27
cnt-2,43,15,13,10,9,20
cnx-1,138,77,88,121,99,77
cof-2,11,2,3,0.7,0.6,14
cog-1,3,4,7,20,3,7
cogc-2,33,6,12,14,19,18
coh-1,111,24,14,10,9,18
coh-3,1,2,5,4,3,13
col-2,,0.4,0.1,2,19,0.6
col-3,0.1,0.4,10,1,1,0.7
col-7,,0.1,9,,10,
col-8,0.3,1,55,0.7,2,0.4
col-9,,0.1,0.1,,1,
col-10,1,26,441,11,809,11
col-12,0.3,2,43,9,5,0.1
col-13,89,68,3,0.2,0.8,35
col-14,124,247,82,0.5,9,0.8
col-17,0.1,258,6,1,0.1,10
col-19,0.4,111,581,0.1,0.1,1047
col-20,,109,764,0.4,0.1,584
col-33,0.2,6,0.2,1,0.6,0.3
col-34,0.6,50,63,2,53,9
col-35,,0.6,2,,0.3,
col-36,0.5,0.3,0.1,11,0.3,0.4
col-37,,14,0.7,,,
col-38,0.9,2,230,3,23,0.3
col-39,0.6,116,50,4,202,19
col-40,,0.2,12,,0.9,
col-41,0.2,0.4,613,1,72,2
col-43,0.1,81,0.3,10,0.2,1
col-44,,0.1,0.3,,,
col-45,0.1,100,0.3,0.2,0.3,0.1
col-46,0.1,0.1,0.1,0.6,0.5,0.2
col-47,0.5,1,0.4,0.1,0.2,0.5
col-48,2,1,97,5,66,10
col-49,,418,7,0.1,0.1,195
col-50,,0.1,11,,0.5,
col-51,,18,0.3,2,0.1,0.9
col-52,,0.3,0.1,,0.2,0.1
col-53,9,2,1,0.4,0.6,1
col-54,0.3,6,0.2,0.4,0.4,0.1
col-55,,0.1,0.2,,,
col-56,4,0.5,2,3,12,0.1
col-58,0.1,2,6,3,0.6,0.2
col-60,28,193,5,0.1,0.1,0.1
col-61,0.8,1,5,0.2,0.5,2
col-62,,0.5,10,,9,
col-63,16,9,0.1,0.7,1,2
col-64,0.1,0.2,0.4,1,0.1,0.5
col-65,0.1,20,20,165,4,0.6
col-66,,0.1,,,,
col-68,9,20,1,0.4,1,3
col-69,0.1,3,0.2,0.3,0.4,0.2
H17B01.2,,0.8,0.1,,,
col-71,0.7,0.9,73,3,13,0.5
col-72,,0.1,2,,0.8,
col-73,0.9,220,1050,1,1,36
col-74,0.3,0.4,1,1149,0.1,0.3
col-75,,0.5,5,2,2,2
col-76,319,3,28,18,19,6
col-77,65,69,6,99,917,0.7
col-78,,0.9,0.5,,0.6,0.2
col-79,1,45,0.8,0.7,0.2,0.2
col-80,1,64,7,3,78,841
col-81,0.1,0.3,3,0.3,260,0.1
col-83,0.1,0.5,0.2,1,7,2
col-84,0.9,0.5,0.3,0.4,32,1
col-85,9,0.4,21,0.2,0.2,0.2
col-86,0.6,3,1,0.1,0.1,0.5
col-87,,0.3,0.1,0.1,0.2,0.3
col-88,0.1,0.3,302,0.1,0.1,0.3
col-89,1,8,117,0.4,21,13
col-90,0.4,2,1,5,0.1,0.2
col-91,20,16,1,3,137,0.4
col-92,0.1,33,2,1,117,0.9
col-93,0.1,35,7,0.4,173,2
col-94,15,42,7,0.1,64,4
col-95,0.1,0.3,7,0.4,0.5,25
col-96,0.3,0.3,0.3,0.2,23,0.1
col-97,164,236,85,0.3,17,0.1
col-98,0.6,71,100,11,234,247
col-99,8,6,2,23,2,1
col-101,0.3,4,0.5,8,3,662
col-102,,0.2,,,,
col-103,1,90,129,20,214,210
col-104,0.5,127,57,100,8,0.7
col-105,0.2,0.3,3,2,12,0.1
col-106,349,774,1,0.2,0.1,616
col-107,0.5,44,278,87,158,12
col-108,,0.2,0.3,,,
col-109,0.1,47,300,90,3,0.2
col-110,1,0.2,38,0.3,0.9,0.5
col-111,14,32,7,31,3,4
col-113,43,25,8,0.3,2,1
col-114,,0.1,0.9,,,
col-115,0.3,7,26,0.2,0.1,24
col-116,,0.1,0.4,,0.5,0.3
col-117,0.5,0.3,16,0.2,0.3,0.9
col-118,3,18,32,9,30,13
col-119,0.6,2,3,0.1,1923,0.6
col-120,0.3,178,4,0.6,0.2,0.3
col-121,0.1,0.2,0.6,293,96,18
col-122,1150,1,3,0.2,2015,0.9
col-123,0.4,0.3,0.4,0.1,7,0.5
col-124,0.4,4,5,0.4,1245,0.1
col-125,0.5,4,370,4,368,19
col-128,0.2,0.4,0.8,0.2,1,0.7
col-129,1,2,256,1101,1,0.1
col-130,0.6,2,34,1,50,6
col-131,5,0.4,2,3,0.4,6
col-132,,2,0.6,1,0.2,8
col-133,314,92,572,0.1,0.1,0.2
col-135,,0.1,0.6,,3,
col-137,,9,8,,,
col-138,0.1,61,852,0.6,0.8,0.1
col-139,901,214,1,0.4,0.5,0.7
col-140,0.1,0.9,1,0.1,463,2
col-141,0.1,3,2,0.4,0.7,0.7
col-142,0.8,3,63,232,69,0.2
col-143,0.4,0.5,22,375,0.9,0.1
col-144,0.1,40,245,3,493,12
col-145,0.7,258,6,24,0.1,0.1
col-146,24,36,3,0.4,0.2,0.1
col-147,3,34,9,0.1,51,3
col-148,,0.8,0.2,9,0.1,0.1
col-149,0.1,190,34,1,36,6
col-150,0.7,4,589,2,44,20
col-151,0.2,0.1,0.1,0.1,0.2,0.4
col-152,,0.1,0.3,0.2,0.3,2
col-153,2,3,11,2,3,0.1
col-154,5,23,3,0.1,41,2
col-155,1,2,18,0.4,29,13
col-156,34,72,2,0.2,0.1,6
col-157,0.2,23,95,7,0.5,5
col-158,0.4,4,0.7,0.2,88,2
col-159,0.1,1,19,0.7,113,76
col-160,12,127,21,0.4,133,10
col-161,125,38,306,0.7,0.7,32
col-162,13,146,4,0.5,0.2,0.3
col-163,,0.3,0.4,,0.3,0.1
col-164,,0.3,0.8,,0.1,
col-165,2,0.1,1,1401,1,0.3
col-166,0.3,302,263,0.7,58,11
col-167,62,27,247,4,192,5
col-168,5,53,4,13,49,0.8
col-169,13,72,25,0.1,34,2
col-170,3,0.8,39,0.1,1,2
col-171,,0.1,0.1,,,
col-172,24,13,3,0.3,0.1,2
col-173,1,0.9,0.8,0.7,0.3,0.2
col-174,0.8,0.3,2,6,8,3
col-175,,2,0.1,0.2,0.6,238
col-176,0.7,237,17,0.4,24,5
col-177,8,3,0.7,0.1,0.1,2
col-178,0.5,114,516,0.7,0.2,940
col-179,,0.3,220,,0.1,
col-180,0.1,112,260,1,3,18
col-181,0.6,3,2,0.1,1174,0.3
col-182,1,15,2,34,37,0.1
col-183,,0.2,19,,0.8,
col-184,414,3,196,0.4,3,0.7
col-186,0.2,3,5,8,0.7,0.1
col-187,1,0.2,2,0.1,0.3,0.1
coq-1,26,21,26,20,35,14
coq-2,15,14,17,23,16,18
coq-3,18,13,12,17,13,14
coq-4,9,13,11,14,11,14
coq-5,34,8,33,12,40,25
coq-6,26,22,27,19,31,23
coq-8,23,10,30,13,36,22
cor-1,17,15,26,14,24,4
cpb-1,0.4,0.7,0.9,2,2,1
cpb-2,0.7,5,3,0.4,0.2,0.5
cpb-3,1,3,5,6,7,7
cpf-1,29,4,14,15,23,52
cpf-2,36,6,25,15,18,61
cpin-1,4,7,3,42,4,12
cpl-1,398,218,560,486,391,1223
cpn-1,38,4,30,60,64,161
cpn-2,31,19,4,194,24,2
cpn-3,555,186,400,263,684,304
cpn-4,3,16,75,31,90,41
cpr-1,0.1,30,349,3,450,1016
cpr-2,3,0.2,1,0.1,0.4,6
cpr-3,1,2,9,4,0.1,7
cpr-4,0.1,21,413,9,711,508
cpr-5,0.4,11,675,3,734,103
cpr-6,98,198,591,213,227,624
cps-6,13,39,56,231,49,28
cpz-1,172,123,289,129,117,247
cpz-2,1,159,55,21,61,71
crb-1,52,4,8,2,3,2
crh-1,10,135,22,14,10,24
crn-1,19,3,27,14,22,91
crn-2,16,9,10,18,8,8
crn-3,33,18,19,49,22,30
crn-4,11,1,0.9,3,3,0.6
crn-5,36,8,13,30,18,21
crn-6,7,3,9,75,4,14
cars-1,46,35,64,42,43,49
cars-2,28,5,2,9,1,3
crt-1,1602,458,1779,571,2002,778
csb-1,9,6,4,3,2,9
csc-1,8,6,6,83,65,8
csk-1,67,13,21,13,15,30
csn-1,30,13,21,17,22,30
csn-2,74,33,29,57,43,37
csn-3,37,8,16,16,24,30
csn-4,13,21,21,21,11,20
csn-5,43,18,26,32,29,58
csn-6,31,6,19,23,22,50
csp-1,0.3,0.2,0.2,0.1,0.6,0.4
csp-2,0.2,2,0.8,0.5,0.2,0.3
csp-3,0.2,0.2,0.4,15,0.1,0.1
csq-1,23,327,207,363,247,67
ctb-1,2772,3165,1920,2240,6127,110
ctl-1,6,8,0.9,10,20,2
ctl-2,91,64,46,106,52,46
ctn-1,25,35,15,26,9,6
cts-1,333,459,823,293,1003,470
cua-1,12,13,18,19,18,24
cuc-1,179,1,193,55,198,62
cul-1,27,21,25,22,25,61
cul-2,65,61,36,32,32,86
cul-3,56,26,22,23,27,78
cul-4,37,8,17,22,17,19
cul-5,35,14,21,30,17,21
cul-6,0.2,3,1,1,3,2
cup-2,129,29,69,39,73,80
cup-4,3,8,14,31,5,5
cup-5,21,15,10,11,11,29
cut-1,1,0.1,0.5,0.2,0.1,0.4
cut-6,2,0.8,0.2,0.2,12,73
cux-7,4,6,7,14,2,8
cwn-1,14,11,7,74,5,7
cwn-2,105,13,13,9,5,0.7
cwp-2,,1,0.2,,0.1,0.1
cwp-3,,0.9,0.5,,,
cwp-4,0.3,1,0.5,0.1,0.2,2
cya-1,129,6,13,9,10,40
cya-2,0.1,0.6,0.5,1,1,0.4
cyb-1,151,4,14,17,31,345
cyb-2.1,4,0.6,3,5,3,4
cyb-2.2,20,4,4,12,98,11
cyb-3,427,14,52,20,34,994
cyc-1,110,132,256,129,235,181
cyd-1,47,21,9,3,8,10
cye-1,13,6,7,14,6,14
cyk-1,28,17,6,29,8,17
cyk-3,32,18,23,22,23,28
cyk-4,69,9,20,11,26,157
cyl-1,61,43,28,52,26,54
cyn-1,116,10,184,94,193,96
cyn-2,2,0.7,1,0.1,30,2
cyn-3,481,79,479,240,277,227
cyn-4,38,6,15,31,17,26
cyn-5,555,118,431,160,423,310
cyn-6,426,7,121,57,292,18
cyn-7,249,156,581,835,577,827
cyn-8,35,10,13,8,9,24
cyn-9,3,0.4,2,17,9,18
cyn-10,59,12,13,51,10,16
cyn-11,71,4,25,20,20,48
cyn-12,75,3,27,27,26,56
cyn-13,56,21,24,27,25,48
sig-7,36,7,14,24,17,26
cyn-15,21,3,12,10,16,18
cyn-16,15,8,11,11,9,14
cyn-17,1,9,9,0.1,0.8,89
dab-1,93,199,108,126,49,143
dac-1,3,3,2,0.1,0.4,2
dad-1,340,9,183,70,235,194
daf-1,19,38,16,12,8,21
daf-2,16,146,19,29,9,38
daf-3,36,68,16,14,8,9
daf-4,21,73,20,25,10,15
daf-5,36,308,20,31,13,20
daf-6,0.4,8,5,25,0.9,0.4
daf-7,6,55,30,44,7,2
daf-8,24,10,7,8,3,3
