"","WBID","Phi_WholeGenome","elongating.embryo.Ce","L1.larva.Ce","dauer.larva.Ce","adult.Ce","L2L3_larva","PHI_Adult","PHI_Dauer","PHI_Emb","PHI_L1","PHI_L2L3"
"159","WBGene00000146",0.649155319,19779,29100,10198,7541,9060,NA,NA,NA,NA,NA
"160","WBGene00000146",0.679605246,19779,29100,10198,7541,9060,NA,NA,NA,NA,NA
"161","WBGene00000146",0.676710904,19779,29100,10198,7541,9060,NA,NA,NA,NA,NA
"162","WBGene00000146",0.674907744,19779,29100,10198,7541,9060,NA,NA,NA,NA,NA
"163","WBGene00000147",0.62160784,4307,5315,1213,1239,1034,NA,NA,NA,NA,NA
"164","WBGene00000148",0.420070708,8121,1803,3390,1421,3114,NA,NA,NA,NA,NA
"165","WBGene00000148",0.420232326,8121,1803,3390,1421,3114,NA,NA,NA,NA,NA
"166","WBGene00000149",2.104362726,107671,459037,59076,14373,69652,NA,NA,NA,2.316724062,NA
"167","WBGene00000150",0.76094836,12811,68706,6774,659,9013,NA,NA,NA,0.575379074,NA
"168","WBGene00000151",0.777282476,2056,1503,2041,1063,1178,NA,NA,NA,NA,NA
"169","WBGene00000155",1.262077808,2038,6829,5562,9457,14781,NA,NA,NA,NA,NA
"170","WBGene00000156",0.504396677,24210,10721,4939,7177,6715,NA,NA,NA,NA,NA
"171","WBGene00000157",1.808083057,9401,5516,871,749,2712,NA,NA,NA,NA,NA
"172","WBGene00000158",1.124886274,19942,34017,8443,4421,14061,NA,NA,NA,NA,NA
"173","WBGene00000159",1.387103081,6376,6038,2294,1071,2564,NA,NA,NA,NA,NA
"174","WBGene00000160",1.21724999,27516,78817,7343,4892,19588,NA,NA,NA,0.929625154,NA
"175","WBGene00000160",1.101706505,27516,78817,7343,4892,19588,NA,NA,NA,0.929625154,NA
"176","WBGene00000160",1.132238865,27516,78817,7343,4892,19588,NA,NA,NA,0.929625154,NA
"177","WBGene00000161",1.330838799,26135,32261,7774,3635,13221,NA,NA,NA,NA,NA
"178","WBGene00000162",1.190256596,8451,10027,3261,2856,4648,NA,NA,NA,NA,NA
"179","WBGene00000162",1.205781102,8451,10027,3261,2856,4648,NA,NA,NA,NA,NA
"180","WBGene00000163",0.675042212,14644,10832,7217,4745,5872,NA,NA,NA,NA,NA
"181","WBGene00000163",0.669734716,14644,10832,7217,4745,5872,NA,NA,NA,NA,NA
"182","WBGene00000164",0.94557482,9725,7930,1660,678,2684,NA,NA,NA,NA,NA
"183","WBGene00000165",1.43949616,5825,1763,1607,1678,2322,NA,NA,NA,NA,NA
"184","WBGene00000166",0.777001858,219,6532,882,21,575,NA,NA,NA,0.507832229,NA
"185","WBGene00000168",1.578691363,983,713,499,5064,802,NA,NA,NA,NA,NA
"186","WBGene00000169",0.97163552,117,7384,1179,1577,4083,NA,NA,NA,0.910624921,NA
"187","WBGene00000169",0.979315341,117,7384,1179,1577,4083,NA,NA,NA,0.910624921,NA
"188","WBGene00000170",2.874034166,291717,396171,43121,1368,23123,NA,NA,NA,3.601015091,NA
"189","WBGene00000170",2.837306023,291717,396171,43121,1368,23123,NA,NA,NA,3.601015091,NA
"190","WBGene00000171",0.643368185,1,13,960,39,17,NA,NA,NA,NA,NA
"191","WBGene00000171",0.623447955,1,13,960,39,17,NA,NA,NA,NA,NA
"192","WBGene00000172",0.741627574,3124,2715,578,368,4400,NA,NA,NA,NA,NA
"193","WBGene00000173",0.626972973,14,454,32,4,48,NA,NA,NA,NA,NA
"194","WBGene00000174",0.793711364,131,1175,1629,22,78,NA,NA,NA,NA,NA
"195","WBGene00000174",0.757371485,131,1175,1629,22,78,NA,NA,NA,NA,NA
"196","WBGene00000174",0.69276768,131,1175,1629,22,78,NA,NA,NA,NA,NA
"197","WBGene00000175",2.089125872,5372,60753,980,4699,21670,NA,NA,NA,2.456199646,NA
"198","WBGene00000176",1.34605515,133,4543,144,1287,7915,NA,NA,NA,NA,0.557345629
"199","WBGene00000176",1.347243905,133,4543,144,1287,7915,NA,NA,NA,NA,0.557345629
"200","WBGene00000177",0.99310106,52,1174,943,98,689,NA,NA,NA,NA,NA
"201","WBGene00000177",0.649791658,52,1174,943,98,689,NA,NA,NA,NA,NA
"202","WBGene00000178",1.2753824,13579,9372,1508,1210,8089,NA,NA,NA,NA,NA
"203","WBGene00000179",1.154638529,6150,1929,1519,902,4431,NA,NA,NA,NA,NA
"204","WBGene00000180",0.72399348,3163,4481,2077,373,1923,NA,NA,NA,NA,NA
"205","WBGene00000181",1.314242601,5321,8141,6481,3691,10283,NA,NA,NA,NA,NA
"206","WBGene00000181",1.451692224,5321,8141,6481,3691,10283,NA,NA,NA,NA,NA
"207","WBGene00000182",1.845314264,70308,96281,19148,11609,47553,NA,NA,NA,NA,NA
"208","WBGene00000183",1.936884165,68771,71804,25358,15334,53130,NA,NA,NA,NA,NA
"209","WBGene00000184",1.133505821,3897,4375,1382,658,2494,NA,NA,NA,NA,NA
"210","WBGene00000185",1.488855958,0,465,33,5,17,NA,NA,NA,NA,NA
"211","WBGene00000185",1.483938217,0,465,33,5,17,NA,NA,NA,NA,NA
"212","WBGene00000186",0.596847534,9583,13261,4338,2407,5565,NA,NA,NA,NA,NA
"213","WBGene00000187",0.79466784,6120,4115,2398,1290,3421,NA,NA,NA,NA,NA
"214","WBGene00000188",1.651083827,2291,6105,1390,32,1269,NA,NA,NA,1.442355275,NA
"215","WBGene00000189",0.652117372,2584,1332,630,324,774,NA,NA,NA,NA,NA
"216","WBGene00000190",1.278390765,6,1869,38,9,153,NA,NA,NA,NA,NA
"217","WBGene00000192",1.641224861,9690,20820,4985,3533,7329,NA,NA,NA,NA,NA
"218","WBGene00000193",0.947733223,1007,473,137,3,57,NA,NA,NA,NA,NA
"219","WBGene00000195",1.252050042,5094,8162,2227,884,1889,NA,NA,NA,NA,NA
"220","WBGene00000196",0.756164789,1825,2180,2213,708,1930,NA,NA,NA,NA,NA
"221","WBGene00000197",1.74458766,10288,34154,18268,23531,27912,NA,NA,NA,NA,NA
"222","WBGene00000198",1.835525632,14200,18043,8729,6475,26297,NA,NA,NA,NA,NA
"223","WBGene00000199",1.431592345,10676,43200,4409,3372,9838,NA,NA,NA,1.259349823,NA
"224","WBGene00000200",1.092917442,11695,46207,7125,4070,9791,NA,NA,NA,1.01351881,NA
"225","WBGene00000201",1.495767951,10215,39504,5948,2581,7682,NA,NA,NA,1.322365046,NA
"226","WBGene00000202",0.931958795,883,1673,1120,1180,920,NA,NA,NA,NA,NA
"227","WBGene00000203",1.641602755,5668,2384,1651,802,2410,NA,NA,NA,NA,NA
"228","WBGene00000204",1.54823482,9839,14078,3119,1836,6967,NA,NA,NA,NA,NA
"229","WBGene00000205",1.676279068,3230,1942,872,746,1555,NA,NA,NA,NA,NA
"230","WBGene00000206",1.649618387,2974,2568,4929,5722,5910,NA,NA,NA,NA,NA
"231","WBGene00000207",2.621806145,17920,85800,40331,12832,59945,NA,NA,NA,NA,NA
"232","WBGene00000208",1.367319584,2072,6271,3907,1363,2118,NA,NA,NA,NA,NA
"233","WBGene00000209",2.120555639,5742,5078,4065,5176,8804,NA,NA,NA,NA,NA
"234","WBGene00000210",2.144945621,7855,13487,7737,3161,19546,NA,NA,NA,NA,NA
"235","WBGene00000211",0.556369305,191,2797,918,225,899,NA,NA,NA,NA,NA
"236","WBGene00000212",0.828090012,50,3896,1954,462,1598,NA,NA,NA,NA,NA
"237","WBGene00000213",1.329227805,0,1498,37,2100,1486,NA,NA,NA,NA,NA
"238","WBGene00000213",1.322911859,0,1498,37,2100,1486,NA,NA,NA,NA,NA
"239","WBGene00000214",3.563149214,3046,656690,4763,110429,365794,NA,NA,NA,4.624071598,NA
"240","WBGene00000215",1.763177872,2315,77999,810,25888,104692,NA,NA,NA,NA,NA
"241","WBGene00000216",2.606820345,2942,137737,4498,32742,142115,NA,NA,NA,NA,NA
"242","WBGene00000217",1.717782378,37681,46868,32008,11394,21233,NA,NA,NA,NA,NA
"243","WBGene00000218",2.24341464,811,294351,2732,35514,120807,NA,NA,NA,2.765445948,NA
"244","WBGene00000219",2.563474417,370,1036265,3136,45561,150710,NA,NA,NA,3.252820015,NA
"245","WBGene00000220",0.469262987,42884,1249,176,46,4980,NA,NA,0.238659516,NA,NA
"246","WBGene00000221",1.451838613,13740,29295,8522,2152,17948,NA,NA,NA,NA,NA
"247","WBGene00000222",0.968539655,9547,27305,5425,630,4698,NA,NA,NA,0.751533806,NA
"248","WBGene00000223",0.684571922,23041,155649,16511,7969,28942,NA,NA,NA,0.448124081,NA
"249","WBGene00000223",0.695324421,23041,155649,16511,7969,28942,NA,NA,NA,0.448124081,NA
"250","WBGene00000223",0.660318375,23041,155649,16511,7969,28942,NA,NA,NA,0.448124081,NA
"251","WBGene00000223",0.698194504,23041,155649,16511,7969,28942,NA,NA,NA,0.448124081,NA
"252","WBGene00000224",1.662339687,35949,50354,6768,1284,8023,NA,NA,NA,NA,NA
"253","WBGene00000224",1.693610311,35949,50354,6768,1284,8023,NA,NA,NA,NA,NA
"254","WBGene00000225",1.08836627,8090,20074,3610,958,6737,NA,NA,NA,1.056866407,NA
"255","WBGene00000225",1.279650927,8090,20074,3610,958,6737,NA,NA,NA,1.056866407,NA
"256","WBGene00000225",1.281556249,8090,20074,3610,958,6737,NA,NA,NA,1.056866407,NA
"257","WBGene00000226",0.651261508,6307,6996,8733,4180,7454,NA,NA,NA,NA,NA
"258","WBGene00000226",0.649105906,6307,6996,8733,4180,7454,NA,NA,NA,NA,NA
"259","WBGene00000227",1.108467579,4389,8261,2200,3460,3124,NA,NA,NA,NA,NA
"260","WBGene00000228",1.362146735,9609,42672,7578,7764,33295,NA,NA,NA,NA,NA
"261","WBGene00000228",1.375640273,9609,42672,7578,7764,33295,NA,NA,NA,NA,NA
"262","WBGene00000228",1.354063511,9609,42672,7578,7764,33295,NA,NA,NA,NA,NA
"263","WBGene00000228",1.367456675,9609,42672,7578,7764,33295,NA,NA,NA,NA,NA
"264","WBGene00000229",2.39784193,71508,503637,158815,167117,409341,NA,NA,NA,NA,NA
"265","WBGene00000230",2.383656263,20696,136333,38849,15043,47146,NA,NA,NA,2.775992155,NA
"266","WBGene00000231",1.600255609,27330,87890,17693,23623,34686,NA,NA,NA,NA,NA
"267","WBGene00000231",1.725170851,27330,87890,17693,23623,34686,NA,NA,NA,NA,NA
"268","WBGene00000231",1.709530234,27330,87890,17693,23623,34686,NA,NA,NA,NA,NA
"269","WBGene00000231",1.615487933,27330,87890,17693,23623,34686,NA,NA,NA,NA,NA
"270","WBGene00000232",0.530594707,1009,5970,2844,110,1477,NA,NA,NA,0.327681512,NA
"271","WBGene00000232",0.513506174,1009,5970,2844,110,1477,NA,NA,NA,0.327681512,NA
"272","WBGene00000232",0.756530881,1009,5970,2844,110,1477,NA,NA,NA,0.327681512,NA
"273","WBGene00000233",0.616567016,149,21021,8493,374,1638,NA,NA,NA,0.370777845,NA
"274","WBGene00000233",0.930347681,149,21021,8493,374,1638,NA,NA,NA,0.370777845,NA
"275","WBGene00000233",0.786149561,149,21021,8493,374,1638,NA,NA,NA,0.370777845,NA
"276","WBGene00000235",1.566890478,11083,4165,3199,3152,7111,NA,NA,NA,NA,NA
"277","WBGene00000236",1.082149267,2761,1196,1392,1193,2266,NA,NA,NA,NA,NA
"278","WBGene00000237",0.900725365,12547,36379,4143,1107,5728,NA,NA,NA,0.60387367,NA
"279","WBGene00000238",0.743279636,3984,9334,3796,459,3868,NA,NA,NA,NA,NA
"280","WBGene00000239",1.225352764,488,4590,817,601,3421,NA,NA,NA,NA,NA
"281","WBGene00000239",1.207222223,488,4590,817,601,3421,NA,NA,NA,NA,NA
"282","WBGene00000240",1.268009782,3986,54629,6306,2228,10703,NA,NA,NA,1.292260528,NA
"283","WBGene00000240",1.285544276,3986,54629,6306,2228,10703,NA,NA,NA,1.292260528,NA
"284","WBGene00000241",1.310786724,1387,2589,500,8,162,NA,NA,NA,NA,NA
"285","WBGene00000242",0.415594667,2672,731,626,7,191,NA,NA,NA,NA,NA
"286","WBGene00000244",0.734323859,908,3385,744,15,322,NA,NA,NA,NA,NA
"287","WBGene00000245",1.301152349,506,11469,1154,778,4356,NA,NA,NA,1.212854385,NA
"288","WBGene00000246",0.422173589,31,1452,2374,122,2128,NA,NA,NA,NA,NA
"289","WBGene00000247",0.862428427,4589,4460,6699,1069,2263,NA,NA,NA,NA,NA
"290","WBGene00000247",1.009989023,4589,4460,6699,1069,2263,NA,NA,NA,NA,NA
"291","WBGene00000248",1.580243587,18665,10913,820,1134,4555,NA,NA,1.606462002,NA,NA
"292","WBGene00000249",0.987235963,8327,5881,1666,1199,1848,NA,NA,NA,NA,NA
"293","WBGene00000250",0.941314936,359,478,1310,1170,633,NA,NA,NA,NA,NA
"294","WBGene00000251",0.799100578,285,579,57,328,27261,NA,NA,NA,NA,0.318032503
"295","WBGene00000252",0.892125666,43,58,32,137,13064,NA,NA,NA,NA,0.427324712
"296","WBGene00000253",0.835287094,6702,9630,3409,1368,6573,NA,NA,NA,NA,NA
"297","WBGene00000254",0.696413815,19120,27937,21375,10975,21838,NA,NA,NA,NA,NA
